No of BETA is:  1
 CN                  
 $DEFLCT DELTA1=0.,0.,0.,0.,$                                                   
                      
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.239    0.240    0.248    0.261    0.249    0.211    0.145    0.123    0.114    0.109    0.106
    0.518    0.520    0.537    0.576    0.531    0.452    0.322    0.289    0.277    0.265    0.253
    1.197    1.206    1.245    1.354    1.189    1.040    0.817    0.710    0.658    0.628    0.611
    1.719    1.733    1.778    1.927    1.800    1.668    1.288    1.144    1.099    1.076    1.057
    2.348    2.374    2.440    2.714    2.602    2.378    1.819    1.682    1.642    1.613    1.581
    3.066    3.107    3.235    3.735    3.567    3.094    2.466    2.340    2.298    2.264    2.223
 CM                  
 $DEFLCT DELTA1=0.,0.,0.,0.,$                                                   
                      
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
   -0.065   -0.066   -0.057   -0.045   -0.210   -0.190   -0.046   -0.003    0.023    0.039    0.050
   -0.244   -0.246   -0.232   -0.249   -0.487   -0.434   -0.133   -0.054   -0.009    0.024    0.050
   -0.977   -0.986   -0.972   -1.095   -1.182   -1.021   -0.426   -0.244   -0.140   -0.076   -0.042
   -1.107   -1.104   -1.030   -1.026   -1.325   -1.198   -0.523   -0.336   -0.233   -0.173   -0.148
   -1.934   -1.966   -1.857   -1.853   -1.838   -1.762   -0.790   -0.595   -0.496   -0.446   -0.343
   -3.136   -3.209   -3.099   -3.167   -2.727   -2.388   -1.230   -1.045   -0.936   -0.884   -0.749
 CA                  
 $DEFLCT DELTA1=0.,0.,0.,0.,$                                                   
                      
    0.431    0.440    0.543    0.757    0.741    0.532    0.353    0.286    0.254    0.238    0.231
    0.431    0.440    0.543    0.757    0.740    0.532    0.354    0.286    0.255    0.239    0.232
    0.430    0.440    0.542    0.756    0.739    0.532    0.355    0.288    0.257    0.242    0.234
    0.433    0.443    0.544    0.753    0.733    0.533    0.361    0.296    0.266    0.251    0.244
    0.433    0.442    0.542    0.745    0.723    0.534    0.370    0.308    0.280    0.266    0.260
    0.418    0.427    0.527    0.730    0.709    0.536    0.382    0.325    0.298    0.286    0.281
    0.397    0.405    0.504    0.698    0.692    0.538    0.397    0.345    0.321    0.311    0.307
 CY                  
 $DEFLCT DELTA1=0.,0.,0.,0.,$                                                   
                      
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
 CLN                 
 $DEFLCT DELTA1=0.,0.,0.,0.,$                                                   
                      
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
 CLL                 
 $DEFLCT DELTA1=0.,0.,0.,0.,$                                                   
                      
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
