Mach,alpha_deg,def_roll,Cll
0.3,0,4,-0.166
0.3,2,4,-0.168
0.3,4,4,-0.17
0.3,6,4,-0.173
0.3,8,4,-0.172
0.3,10,4,-0.162
0.3,12,4,-0.144
0.3,14,4,-0.122
0.3,16,4,-0.098
0.3,18,4,-0.071
0.3,20,4,-0.059
0.4,0,4,-0.173
0.4,2,4,-0.174
0.4,4,4,-0.177
0.4,6,4,-0.179
0.4,8,4,-0.178
0.4,10,4,-0.167
0.4,12,4,-0.149
0.4,14,4,-0.126
0.4,16,4,-0.103
0.4,18,4,-0.075
0.4,20,4,-0.069
0.5,0,4,-0.183
0.5,2,4,-0.184
0.5,4,4,-0.187
0.5,6,4,-0.189
0.5,8,4,-0.187
0.5,10,4,-0.176
0.5,12,4,-0.158
0.5,14,4,-0.135
0.5,16,4,-0.112
0.5,18,4,-0.084
0.5,20,4,-0.079
0.6,0,4,-0.195
0.6,2,4,-0.196
0.6,4,4,-0.199
0.6,6,4,-0.201
0.6,8,4,-0.197
0.6,10,4,-0.183
0.6,12,4,-0.164
0.6,14,4,-0.143
0.6,16,4,-0.125
0.6,18,4,-0.104
0.6,20,4,-0.102
0.7,0,4,-0.236
0.7,2,4,-0.239
0.7,4,4,-0.246
0.7,6,4,-0.255
0.7,8,4,-0.264
0.7,10,4,-0.266
0.7,12,4,-0.256
0.7,14,4,-0.23
0.7,16,4,-0.203
0.7,18,4,-0.167
0.7,20,4,-0.145
0.8,0,4,-0.268
0.8,2,4,-0.271
0.8,4,4,-0.278
0.8,6,4,-0.287
0.8,8,4,-0.295
0.8,10,4,-0.298
0.8,12,4,-0.292
0.8,14,4,-0.27
0.8,16,4,-0.243
0.8,18,4,-0.208
0.8,20,4,-0.18
0.9,0,4,-0.335
0.9,2,4,-0.335
0.9,4,4,-0.336
0.9,6,4,-0.336
0.9,8,4,-0.337
0.9,10,4,-0.335
0.9,12,4,-0.325
0.9,14,4,-0.304
0.9,16,4,-0.279
0.9,18,4,-0.252
0.9,20,4,-0.227
1,0,4,-0.486
1,2,4,-0.486
1,4,4,-0.484
1,6,4,-0.482
1,8,4,-0.479
1,10,4,-0.476
1,12,4,-0.47
1,14,4,-0.454
1,16,4,-0.427
1,18,4,-0.396
1,20,4,-0.377
0.1,0,6,-0.239
0.1,2,6,-0.24
0.1,4,6,-0.243
0.1,6,6,-0.246
0.1,8,6,-0.244
0.1,10,6,-0.231
0.1,12,6,-0.213
0.1,14,6,-0.189
0.1,16,6,-0.15
0.1,18,6,-0.099
0.1,20,6,-0.064
0.2,0,6,-0.244
0.2,2,6,-0.245
0.2,4,6,-0.248
0.2,6,6,-0.25
0.2,8,6,-0.246
0.2,10,6,-0.233
0.2,12,6,-0.212
0.2,14,6,-0.184
0.2,16,6,-0.148
0.2,18,6,-0.104
0.2,20,6,-0.077
0.3,0,6,-0.251
0.3,2,6,-0.252
0.3,4,6,-0.255
0.3,6,6,-0.256
0.3,8,6,-0.25
0.3,10,6,-0.235
0.3,12,6,-0.212
0.3,14,6,-0.181
0.3,16,6,-0.148
0.3,18,6,-0.111
0.3,20,6,-0.095
0.4,0,6,-0.261
0.4,2,6,-0.262
0.4,4,6,-0.265
0.4,6,6,-0.265
0.4,8,6,-0.258
0.4,10,6,-0.243
0.4,12,6,-0.22
0.4,14,6,-0.187
0.4,16,6,-0.155
0.4,18,6,-0.121
0.4,20,6,-0.11
0.5,0,6,-0.275
0.5,2,6,-0.277
0.5,4,6,-0.279
0.5,6,6,-0.279
0.5,8,6,-0.271
0.5,10,6,-0.257
0.5,12,6,-0.234
0.5,14,6,-0.2
0.5,16,6,-0.17
0.5,18,6,-0.135
0.5,20,6,-0.125
0.6,0,6,-0.294
0.6,2,6,-0.295
0.6,4,6,-0.297
0.6,6,6,-0.295
0.6,8,6,-0.285
0.6,10,6,-0.268
0.6,12,6,-0.245
0.6,14,6,-0.215
0.6,16,6,-0.191
0.6,18,6,-0.163
0.6,20,6,-0.158
0.7,0,6,-0.359
0.7,2,6,-0.361
0.7,4,6,-0.369
0.7,6,6,-0.381
0.7,8,6,-0.389
0.7,10,6,-0.387
0.7,12,6,-0.371
0.7,14,6,-0.338
0.7,16,6,-0.307
0.7,18,6,-0.251
0.7,20,6,-0.222
0.8,0,6,-0.407
0.8,2,6,-0.41
0.8,4,6,-0.417
0.8,6,6,-0.428
0.8,8,6,-0.437
0.8,10,6,-0.438
0.8,12,6,-0.425
0.8,14,6,-0.395
0.8,16,6,-0.366
0.8,18,6,-0.308
0.8,20,6,-0.271
0.9,0,6,-0.501
0.9,2,6,-0.501
0.9,4,6,-0.502
0.9,6,6,-0.503
0.9,8,6,-0.502
0.9,10,6,-0.495
0.9,12,6,-0.479
0.9,14,6,-0.448
0.9,16,6,-0.42
0.9,18,6,-0.373
0.9,20,6,-0.333
1,0,6,-0.725
1,2,6,-0.724
1,4,6,-0.722
1,6,6,-0.72
1,8,6,-0.717
1,10,6,-0.711
1,12,6,-0.698
1,14,6,-0.671
1,16,6,-0.638
1,18,6,-0.596
1,20,6,-0.547
0.1,0,8,-0.32
0.1,2,8,-0.321
0.1,4,8,-0.323
0.1,6,8,-0.322
0.1,8,8,-0.312
0.1,10,8,-0.296
0.1,12,8,-0.278
0.1,14,8,-0.241
0.1,16,8,-0.195
0.1,18,8,-0.132
0.1,20,8,-0.101
0.2,0,8,-0.327
0.2,2,8,-0.327
0.2,4,8,-0.329
0.2,6,8,-0.326
0.2,8,8,-0.316
0.2,10,8,-0.298
0.2,12,8,-0.275
0.2,14,8,-0.238
0.2,16,8,-0.196
0.2,18,8,-0.142
0.2,20,8,-0.116
0.3,0,8,-0.336
0.3,2,8,-0.337
0.3,4,8,-0.337
0.3,6,8,-0.332
0.3,8,8,-0.321
0.3,10,8,-0.302
0.3,12,8,-0.274
0.3,14,8,-0.237
0.3,16,8,-0.199
0.3,18,8,-0.157
0.3,20,8,-0.14
0.4,0,8,-0.35
0.4,2,8,-0.35
0.4,4,8,-0.35
0.4,6,8,-0.344
0.4,8,8,-0.331
0.4,10,8,-0.314
0.4,12,8,-0.284
0.4,14,8,-0.246
0.4,16,8,-0.21
0.4,18,8,-0.174
0.4,20,8,-0.159
0.5,0,8,-0.369
0.5,2,8,-0.369
0.5,4,8,-0.368
0.5,6,8,-0.362
0.5,8,8,-0.349
0.5,10,8,-0.332
0.5,12,8,-0.302
0.5,14,8,-0.264
0.5,16,8,-0.228
0.5,18,8,-0.194
