Time [second],Thrust [N],mdot [kg/s]
0.15666604,796.2472,0.351515152
0.15749937,796.2472,0.351515152
0.1583327,796.2472,0.351515152
0.15916603,796.2472,0.351515152
0.15999936,816.15338,0.36030303
0.16083269,806.20029,0.355909091
0.16166602,796.2472,0.351515152
0.16249935,806.20029,0.355909091
0.16333268,796.2472,0.351515152
0.16416601,796.2472,0.351515152
0.16499934,806.20029,0.355909091
0.16583267,796.2472,0.351515152
0.166666,796.2472,0.351515152
0.16749933,806.20029,0.355909091
0.16833266,796.2472,0.351515152
0.16916599,806.20029,0.355909091
0.16999932,806.20029,0.355909091
0.17083265,796.2472,0.351515152
0.17166598,796.2472,0.351515152
0.17249931,806.20029,0.355909091
0.17333264,806.20029,0.355909091
0.17416597,806.20029,0.355909091
0.1749993,806.20029,0.355909091
0.17583263,796.2472,0.351515152
0.17666596,806.20029,0.355909091
0.17749929,806.20029,0.355909091
0.17833262,796.2472,0.351515152
0.17916595,806.20029,0.355909091
0.17999928,806.20029,0.355909091
0.18083261,806.20029,0.355909091
0.18166594,816.15338,0.36030303
0.18249927,816.15338,0.36030303
0.1833326,806.20029,0.355909091
0.18416593,806.20029,0.355909091
0.18499926,806.20029,0.355909091
0.18583259,806.20029,0.355909091
0.18666592,816.15338,0.36030303
0.18749925,816.15338,0.36030303
0.18833258,806.20029,0.355909091
0.18916591,816.15338,0.36030303
0.18999924,806.20029,0.355909091
0.19083257,806.20029,0.355909091
0.1916659,816.15338,0.36030303
0.19249923,806.20029,0.355909091
0.19333256,806.20029,0.355909091
0.19416589,816.15338,0.36030303
0.19499922,816.15338,0.36030303
0.19583255,816.15338,0.36030303
0.19666588,806.20029,0.355909091
0.19749921,806.20029,0.355909091
0.19833254,816.15338,0.36030303
0.19916587,816.15338,0.36030303
0.1999992,816.15338,0.36030303
0.20083253,826.10647,0.36469697
0.20166586,816.15338,0.36030303
0.20249919,826.10647,0.36469697
0.20333252,816.15338,0.36030303
0.20416585,816.15338,0.36030303
0.20499918,826.10647,0.36469697
0.20583251,816.15338,0.36030303
0.20666584,816.15338,0.36030303
0.20749917,826.10647,0.36469697
0.2083325,836.05956,0.369090909
0.20916583,826.10647,0.36469697
0.20999916,836.05956,0.369090909
0.21083249,836.05956,0.369090909
0.21166582,826.10647,0.36469697
0.21249915,836.05956,0.369090909
0.21333248,826.10647,0.36469697
0.21416581,836.05956,0.369090909
0.21499914,836.05956,0.369090909
0.21583247,836.05956,0.369090909
0.2166658,836.05956,0.369090909
0.21749913,836.05956,0.369090909
0.21833246,836.05956,0.369090909
0.21916579,826.10647,0.36469697
0.21999912,826.10647,0.36469697
0.22083245,836.05956,0.369090909
0.22166578,836.05956,0.369090909
0.22249911,836.05956,0.369090909
0.22333244,846.01265,0.373484848
0.22416577,836.05956,0.369090909
0.2249991,836.05956,0.369090909
0.22583243,846.01265,0.373484848
0.22666576,826.10647,0.36469697
0.22749909,836.05956,0.369090909
0.22833242,855.96574,0.377878788
0.22916575,836.05956,0.369090909
0.22999908,846.01265,0.373484848
0.23083241,846.01265,0.373484848
0.23166574,836.05956,0.369090909
0.23249907,846.01265,0.373484848
0.2333324,846.01265,0.373484848
0.23416573,836.05956,0.369090909
0.23499906,846.01265,0.373484848
0.23583239,846.01265,0.373484848
0.23666572,836.05956,0.369090909
0.23749905,846.01265,0.373484848
0.23833238,855.96574,0.377878788
0.23916571,846.01265,0.373484848
0.23999904,846.01265,0.373484848
0.24083237,846.01265,0.373484848
0.2416657,846.01265,0.373484848
0.24249903,846.01265,0.373484848
0.24333236,846.01265,0.373484848
0.24416569,846.01265,0.373484848
0.24499902,846.01265,0.373484848
0.24583235,846.01265,0.373484848
0.24666568,846.01265,0.373484848
0.24749901,855.96574,0.377878788
0.24833234,855.96574,0.377878788
0.24916567,846.01265,0.373484848
0.249999,855.96574,0.377878788
0.25083233,855.96574,0.377878788
0.25166566,846.01265,0.373484848
0.25249899,855.96574,0.377878788
0.25333232,855.96574,0.377878788
0.25416565,846.01265,0.373484848
0.25499898,855.96574,0.377878788
0.25583231,855.96574,0.377878788
0.25666564,846.01265,0.373484848
0.25749897,855.96574,0.377878788
0.2583323,855.96574,0.377878788
0.25916563,846.01265,0.373484848
0.25999896,855.96574,0.377878788
0.26083229,865.91883,0.382272727
0.26166562,855.96574,0.377878788
0.26249895,855.96574,0.377878788
0.26333228,855.96574,0.377878788
0.26416561,855.96574,0.377878788
0.26499894,855.96574,0.377878788
0.26583227,855.96574,0.377878788
0.2666656,846.01265,0.373484848
0.26749893,865.91883,0.382272727
0.26833226,865.91883,0.382272727
0.26916559,865.91883,0.382272727
0.26999892,855.96574,0.377878788
0.27083225,865.91883,0.382272727
0.27166558,855.96574,0.377878788
0.27249891,855.96574,0.377878788
0.27333224,855.96574,0.377878788
0.27416557,855.96574,0.377878788
0.2749989,855.96574,0.377878788
0.27583223,865.91883,0.382272727
0.27666556,855.96574,0.377878788
0.27749889,865.91883,0.382272727
0.27833222,865.91883,0.382272727
0.27916555,855.96574,0.377878788
0.27999888,855.96574,0.377878788
0.28083221,865.91883,0.382272727
0.28166554,865.91883,0.382272727
0.28249887,855.96574,0.377878788
0.2833322,865.91883,0.382272727
0.28416553,865.91883,0.382272727
0.28499886,855.96574,0.377878788
0.28583219,865.91883,0.382272727
0.28666552,865.91883,0.382272727
0.28749885,865.91883,0.382272727
0.28833218,875.87192,0.386666667
0.28916551,865.91883,0.382272727
0.28999884,865.91883,0.382272727
0.29083217,875.87192,0.386666667
0.2916655,865.91883,0.382272727
0.29249883,865.91883,0.382272727
0.29333216,875.87192,0.386666667
0.29416549,865.91883,0.382272727
0.29499882,875.87192,0.386666667
0.29583215,875.87192,0.386666667
0.29666548,865.91883,0.382272727
0.29749881,875.87192,0.386666667
0.29833214,875.87192,0.386666667
0.29916547,865.91883,0.382272727
0.2999988,875.87192,0.386666667
0.30083213,865.91883,0.382272727
0.30166546,875.87192,0.386666667
0.30249879,875.87192,0.386666667
0.30333212,865.91883,0.382272727
0.30416545,875.87192,0.386666667
0.30499878,875.87192,0.386666667
0.30583211,865.91883,0.382272727
0.30666544,875.87192,0.386666667
0.30749877,875.87192,0.386666667
0.3083321,875.87192,0.386666667
0.30916543,875.87192,0.386666667
0.30999876,875.87192,0.386666667
0.31083209,875.87192,0.386666667
0.31166542,875.87192,0.386666667
0.31249875,875.87192,0.386666667
0.31333208,865.91883,0.382272727
0.31416541,875.87192,0.386666667
0.31499874,875.87192,0.386666667
0.31583207,865.91883,0.382272727
0.3166654,875.87192,0.386666667
0.31749873,875.87192,0.386666667
0.31833206,865.91883,0.382272727
0.31916539,875.87192,0.386666667
0.31999872,875.87192,0.386666667
0.32083205,865.91883,0.382272727
0.32166538,875.87192,0.386666667
0.32249871,875.87192,0.386666667
0.32333204,875.87192,0.386666667
0.32416537,875.87192,0.386666667
0.3249987,865.91883,0.382272727
0.32583203,865.91883,0.382272727
0.32666536,875.87192,0.386666667
0.32749869,865.91883,0.382272727
0.32833202,865.91883,0.382272727
0.32916535,875.87192,0.386666667
0.32999868,865.91883,0.382272727
0.33083201,875.87192,0.386666667
0.33166534,875.87192,0.386666667
0.33249867,875.87192,0.386666667
0.333332,875.87192,0.386666667
0.33416533,875.87192,0.386666667
0.33499866,865.91883,0.382272727
0.33583199,875.87192,0.386666667
0.33666532,875.87192,0.386666667
0.33749865,865.91883,0.382272727
0.33833198,875.87192,0.386666667
0.33916531,865.91883,0.382272727
0.33999864,875.87192,0.386666667
0.34083197,875.87192,0.386666667
0.3416653,865.91883,0.382272727
0.34249863,865.91883,0.382272727
0.34333196,875.87192,0.386666667
0.34416529,865.91883,0.382272727
0.34499862,875.87192,0.386666667
0.34583195,875.87192,0.386666667
0.34666528,865.91883,0.382272727
0.34749861,875.87192,0.386666667
0.34833194,875.87192,0.386666667
0.34916527,865.91883,0.382272727
0.3499986,875.87192,0.386666667
0.35083193,865.91883,0.382272727
0.35166526,855.96574,0.377878788
0.35249859,875.87192,0.386666667
0.35333192,875.87192,0.386666667
0.35416525,865.91883,0.382272727
0.35499858,875.87192,0.386666667
0.35583191,865.91883,0.382272727
0.35666524,865.91883,0.382272727
0.35749857,875.87192,0.386666667
0.3583319,865.91883,0.382272727
0.35916523,865.91883,0.382272727
0.35999856,865.91883,0.382272727
0.36083189,865.91883,0.382272727
0.36166522,865.91883,0.382272727
0.36249855,865.91883,0.382272727
0.36333188,865.91883,0.382272727
0.36416521,865.91883,0.382272727
0.36499854,865.91883,0.382272727
0.36583187,865.91883,0.382272727
0.3666652,875.87192,0.386666667
0.36749853,875.87192,0.386666667
0.36833186,875.87192,0.386666667
0.36916519,875.87192,0.386666667
0.36999852,855.96574,0.377878788
0.37083185,875.87192,0.386666667
0.37166518,875.87192,0.386666667
0.37249851,846.01265,0.373484848
0.37333184,875.87192,0.386666667
0.37416517,865.91883,0.382272727
0.3749985,855.96574,0.377878788
0.37583183,885.82501,0.391060606
0.37666516,865.91883,0.382272727
0.37749849,846.01265,0.373484848
0.37833182,875.87192,0.386666667
0.37916515,855.96574,0.377878788
0.37999848,855.96574,0.377878788
0.38083181,875.87192,0.386666667
0.38166514,865.91883,0.382272727
0.38249847,855.96574,0.377878788
0.3833318,865.91883,0.382272727
0.38416513,855.96574,0.377878788
0.38499846,855.96574,0.377878788
0.38583179,865.91883,0.382272727
0.38666512,855.96574,0.377878788
0.38749845,855.96574,0.377878788
0.38833178,865.91883,0.382272727
0.38916511,855.96574,0.377878788
0.38999844,865.91883,0.382272727
0.39083177,855.96574,0.377878788
0.3916651,855.96574,0.377878788
0.39249843,865.91883,0.382272727
0.39333176,855.96574,0.377878788
0.39416509,855.96574,0.377878788
0.39499842,855.96574,0.377878788
0.39583175,855.96574,0.377878788
0.39666508,855.96574,0.377878788
0.39749841,855.96574,0.377878788
0.39833174,846.01265,0.373484848
0.39916507,855.96574,0.377878788
0.3999984,846.01265,0.373484848
0.40083173,846.01265,0.373484848
0.40166506,855.96574,0.377878788
0.40249839,855.96574,0.377878788
0.40333172,846.01265,0.373484848
0.40416505,855.96574,0.377878788
0.40499838,846.01265,0.373484848
0.40583171,846.01265,0.373484848
0.40666504,855.96574,0.377878788
0.40749837,846.01265,0.373484848
0.4083317,846.01265,0.373484848
0.40916503,855.96574,0.377878788
0.40999836,846.01265,0.373484848
0.41083169,846.01265,0.373484848
0.41166502,846.01265,0.373484848
0.41249835,846.01265,0.373484848
0.41333168,846.01265,0.373484848
0.41416501,846.01265,0.373484848
0.41499834,846.01265,0.373484848
0.41583167,846.01265,0.373484848
0.416665,846.01265,0.373484848
0.41749833,846.01265,0.373484848
0.41833166,846.01265,0.373484848
0.41916499,846.01265,0.373484848
0.41999832,846.01265,0.373484848
0.42083165,846.01265,0.373484848
0.42166498,836.05956,0.369090909
0.42249831,846.01265,0.373484848
0.42333164,846.01265,0.373484848
0.42416497,836.05956,0.369090909
0.4249983,846.01265,0.373484848
0.42583163,836.05956,0.369090909
0.42666496,846.01265,0.373484848
0.42749829,846.01265,0.373484848
0.42833162,836.05956,0.369090909
0.42916495,846.01265,0.373484848
0.42999828,846.01265,0.373484848
0.43083161,836.05956,0.369090909
0.43166494,846.01265,0.373484848
0.43249827,836.05956,0.369090909
0.4333316,836.05956,0.369090909
0.43416493,836.05956,0.369090909
0.43499826,836.05956,0.369090909
0.43583159,836.05956,0.369090909
0.43666492,836.05956,0.369090909
0.43749825,826.10647,0.36469697
0.43833158,836.05956,0.369090909
0.43916491,836.05956,0.369090909
0.43999824,826.10647,0.36469697
0.44083157,836.05956,0.369090909
0.4416649,836.05956,0.369090909
0.44249823,826.10647,0.36469697
0.44333156,836.05956,0.369090909
0.44416489,836.05956,0.369090909
0.44499822,826.10647,0.36469697
0.44583155,836.05956,0.369090909
0.44666488,826.10647,0.36469697
0.44749821,826.10647,0.36469697
0.44833154,836.05956,0.369090909
0.44916487,826.10647,0.36469697
0.4499982,826.10647,0.36469697
0.45083153,836.05956,0.369090909
0.45166486,826.10647,0.36469697
0.45249819,826.10647,0.36469697
0.45333152,836.05956,0.369090909
0.45416485,836.05956,0.369090909
0.45499818,826.10647,0.36469697
0.45583151,836.05956,0.369090909
0.45666484,836.05956,0.369090909
0.45749817,826.10647,0.36469697
0.4583315,826.10647,0.36469697
0.45916483,826.10647,0.36469697
0.45999816,826.10647,0.36469697
0.46083149,826.10647,0.36469697
0.46166482,826.10647,0.36469697
0.46249815,826.10647,0.36469697
0.46333148,826.10647,0.36469697
0.46416481,826.10647,0.36469697
0.46499814,826.10647,0.36469697
0.46583147,826.10647,0.36469697
0.4666648,826.10647,0.36469697
0.46749813,826.10647,0.36469697
0.46833146,826.10647,0.36469697
0.46916479,826.10647,0.36469697
0.46999812,826.10647,0.36469697
0.47083145,826.10647,0.36469697
0.47166478,816.15338,0.36030303
0.47249811,826.10647,0.36469697
0.47333144,816.15338,0.36030303
0.47416477,816.15338,0.36030303
0.4749981,826.10647,0.36469697
0.47583143,816.15338,0.36030303
0.47666476,816.15338,0.36030303
0.47749809,826.10647,0.36469697
0.47833142,816.15338,0.36030303
0.47916475,816.15338,0.36030303
0.47999808,816.15338,0.36030303
0.48083141,816.15338,0.36030303
0.48166474,826.10647,0.36469697
0.48249807,826.10647,0.36469697
0.4833314,826.10647,0.36469697
0.48416473,826.10647,0.36469697
0.48499806,826.10647,0.36469697
0.48583139,826.10647,0.36469697
0.48666472,816.15338,0.36030303
0.48749805,826.10647,0.36469697
0.48833138,826.10647,0.36469697
0.48916471,816.15338,0.36030303
0.48999804,826.10647,0.36469697
0.49083137,826.10647,0.36469697
0.4916647,816.15338,0.36030303
0.49249803,826.10647,0.36469697
0.49333136,816.15338,0.36030303
0.49416469,816.15338,0.36030303
0.49499802,826.10647,0.36469697
0.49583135,816.15338,0.36030303
0.49666468,826.10647,0.36469697
0.49749801,816.15338,0.36030303
0.49833134,816.15338,0.36030303
0.49916467,826.10647,0.36469697
0.499998,816.15338,0.36030303
0.50083133,816.15338,0.36030303
0.50166466,816.15338,0.36030303
0.50249799,816.15338,0.36030303
0.50333132,816.15338,0.36030303
0.50416465,816.15338,0.36030303
0.50499798,816.15338,0.36030303
0.50583131,816.15338,0.36030303
0.50666464,816.15338,0.36030303
0.50749797,816.15338,0.36030303
0.5083313,816.15338,0.36030303
0.50916463,816.15338,0.36030303
0.50999796,816.15338,0.36030303
0.51083129,816.15338,0.36030303
0.51166462,816.15338,0.36030303
0.51249795,816.15338,0.36030303
0.51333128,816.15338,0.36030303
0.51416461,816.15338,0.36030303
0.51499794,816.15338,0.36030303
0.51583127,816.15338,0.36030303
0.5166646,816.15338,0.36030303
0.51749793,816.15338,0.36030303
0.51833126,816.15338,0.36030303
0.51916459,816.15338,0.36030303
0.51999792,816.15338,0.36030303
0.52083125,816.15338,0.36030303
0.52166458,816.15338,0.36030303
0.52249791,816.15338,0.36030303
0.52333124,816.15338,0.36030303
0.52416457,816.15338,0.36030303
0.5249979,816.15338,0.36030303
0.52583123,816.15338,0.36030303
0.52666456,816.15338,0.36030303
0.52749789,816.15338,0.36030303
0.52833122,816.15338,0.36030303
0.52916455,816.15338,0.36030303
0.52999788,816.15338,0.36030303
0.53083121,816.15338,0.36030303
0.53166454,816.15338,0.36030303
0.53249787,816.15338,0.36030303
0.5333312,816.15338,0.36030303
0.53416453,816.15338,0.36030303
0.53499786,816.15338,0.36030303
0.53583119,816.15338,0.36030303
0.53666452,816.15338,0.36030303
0.53749785,816.15338,0.36030303
0.53833118,816.15338,0.36030303
0.53916451,816.15338,0.36030303
0.53999784,826.10647,0.36469697
0.54083117,816.15338,0.36030303
0.5416645,816.15338,0.36030303
0.54249783,816.15338,0.36030303
0.54333116,816.15338,0.36030303
0.54416449,826.10647,0.36469697
0.54499782,816.15338,0.36030303
0.54583115,816.15338,0.36030303
0.54666448,826.10647,0.36469697
0.54749781,816.15338,0.36030303
0.54833114,816.15338,0.36030303
0.54916447,816.15338,0.36030303
0.5499978,816.15338,0.36030303
0.55083113,826.10647,0.36469697
0.55166446,826.10647,0.36469697
0.55249779,816.15338,0.36030303
0.55333112,826.10647,0.36469697
0.55416445,816.15338,0.36030303
0.55499778,816.15338,0.36030303
0.55583111,826.10647,0.36469697
0.55666444,816.15338,0.36030303
0.55749777,816.15338,0.36030303
0.5583311,826.10647,0.36469697
0.55916443,816.15338,0.36030303
0.55999776,826.10647,0.36469697
0.56083109,816.15338,0.36030303
0.56166442,816.15338,0.36030303
0.56249775,826.10647,0.36469697
0.56333108,816.15338,0.36030303
0.56416441,816.15338,0.36030303
0.56499774,826.10647,0.36469697
0.56583107,816.15338,0.36030303
0.5666644,826.10647,0.36469697
0.56749773,826.10647,0.36469697
0.56833106,816.15338,0.36030303
0.56916439,826.10647,0.36469697
0.56999772,816.15338,0.36030303
0.57083105,816.15338,0.36030303
0.57166438,816.15338,0.36030303
0.57249771,816.15338,0.36030303
0.57333104,816.15338,0.36030303
0.57416437,816.15338,0.36030303
0.5749977,816.15338,0.36030303
0.57583103,826.10647,0.36469697
0.57666436,816.15338,0.36030303
0.57749769,826.10647,0.36469697
0.57833102,816.15338,0.36030303
0.57916435,816.15338,0.36030303
0.57999768,816.15338,0.36030303
0.58083101,816.15338,0.36030303
0.58166434,816.15338,0.36030303
0.58249767,816.15338,0.36030303
0.583331,816.15338,0.36030303
0.58416433,816.15338,0.36030303
0.58499766,826.10647,0.36469697
0.58583099,816.15338,0.36030303
0.58666432,816.15338,0.36030303
0.58749765,816.15338,0.36030303
0.58833098,816.15338,0.36030303
0.58916431,816.15338,0.36030303
0.58999764,826.10647,0.36469697
0.59083097,816.15338,0.36030303
0.5916643,826.10647,0.36469697
0.59249763,816.15338,0.36030303
0.59333096,816.15338,0.36030303
0.59416429,826.10647,0.36469697
0.59499762,826.10647,0.36469697
0.59583095,816.15338,0.36030303
0.59666428,826.10647,0.36469697
0.59749761,826.10647,0.36469697
0.59833094,816.15338,0.36030303
0.59916427,826.10647,0.36469697
0.5999976,826.10647,0.36469697
0.60083093,816.15338,0.36030303
0.60166426,826.10647,0.36469697
0.60249759,826.10647,0.36469697
0.60333092,826.10647,0.36469697
0.60416425,826.10647,0.36469697
0.60499758,816.15338,0.36030303
0.60583091,826.10647,0.36469697
0.60666424,826.10647,0.36469697
0.60749757,826.10647,0.36469697
0.6083309,826.10647,0.36469697
0.60916423,826.10647,0.36469697
0.60999756,826.10647,0.36469697
0.61083089,826.10647,0.36469697
0.61166422,826.10647,0.36469697
0.61249755,826.10647,0.36469697
0.61333088,826.10647,0.36469697
0.61416421,826.10647,0.36469697
0.61499754,826.10647,0.36469697
0.61583087,826.10647,0.36469697
0.6166642,826.10647,0.36469697
0.61749753,826.10647,0.36469697
0.61833086,826.10647,0.36469697
0.61916419,826.10647,0.36469697
0.61999752,826.10647,0.36469697
0.62083085,826.10647,0.36469697
0.62166418,826.10647,0.36469697
0.62249751,826.10647,0.36469697
0.62333084,826.10647,0.36469697
0.62416417,836.05956,0.369090909
0.6249975,826.10647,0.36469697
0.62583083,826.10647,0.36469697
0.62666416,826.10647,0.36469697
0.62749749,826.10647,0.36469697
0.62833082,826.10647,0.36469697
0.62916415,826.10647,0.36469697
0.62999748,826.10647,0.36469697
0.63083081,826.10647,0.36469697
0.63166414,826.10647,0.36469697
0.63249747,826.10647,0.36469697
0.6333308,826.10647,0.36469697
0.63416413,826.10647,0.36469697
0.63499746,826.10647,0.36469697
0.63583079,826.10647,0.36469697
0.63666412,826.10647,0.36469697
0.63749745,826.10647,0.36469697
0.63833078,826.10647,0.36469697
0.63916411,826.10647,0.36469697
0.63999744,826.10647,0.36469697
0.64083077,826.10647,0.36469697
0.6416641,826.10647,0.36469697
0.64249743,826.10647,0.36469697
0.64333076,826.10647,0.36469697
0.64416409,826.10647,0.36469697
0.64499742,826.10647,0.36469697
0.64583075,826.10647,0.36469697
0.64666408,826.10647,0.36469697
0.64749741,826.10647,0.36469697
0.64833074,826.10647,0.36469697
0.64916407,826.10647,0.36469697
0.6499974,826.10647,0.36469697
0.65083073,826.10647,0.36469697
0.65166406,826.10647,0.36469697
0.65249739,826.10647,0.36469697
