Mach,alpha_deg,Reynolds,CA
0.2,12.0,75000000,0.220
0.2,12.0,100000000,0.216
0.2,14.0,10000,0.858
0.2,14.0,40000,0.598
0.2,14.0,100000,0.491
0.2,14.0,500000,0.370
0.2,14.0,1000000,0.334
0.2,14.0,10000000,0.256
0.2,14.0,20000000,0.240
0.2,14.0,50000000,0.223
0.2,14.0,75000000,0.216
0.2,14.0,100000000,0.212
0.2,16.0,10000,0.849
0.2,16.0,40000,0.590
0.2,16.0,100000,0.483
0.2,16.0,500000,0.363
0.2,16.0,1000000,0.327
0.2,16.0,10000000,0.249
0.2,16.0,20000000,0.234
0.2,16.0,50000000,0.217
0.2,16.0,75000000,0.210
0.2,16.0,100000000,0.206
0.2,18.0,10000,0.837
0.2,18.0,40000,0.579
0.2,18.0,100000,0.473
0.2,18.0,500000,0.354
0.2,18.0,1000000,0.318
0.2,18.0,10000000,0.241
0.2,18.0,20000000,0.225
0.2,18.0,50000000,0.208
0.2,18.0,75000000,0.202
0.2,18.0,100000000,0.197
0.2,20.0,10000,0.822
0.2,20.0,40000,0.566
0.2,20.0,100000,0.460
0.2,20.0,500000,0.341
0.2,20.0,1000000,0.306
0.2,20.0,10000000,0.229
0.2,20.0,20000000,0.213
0.2,20.0,50000000,0.196
0.2,20.0,75000000,0.190
0.2,20.0,100000000,0.186
0.3,0.0,10000,0.880
0.3,0.0,40000,0.615
0.3,0.0,100000,0.505
0.3,0.0,500000,0.382
0.3,0.0,1000000,0.346
0.3,0.0,10000000,0.266
0.3,0.0,20000000,0.250
0.3,0.0,50000000,0.232
0.3,0.0,75000000,0.225
0.3,0.0,100000000,0.221
0.3,2.0,10000,0.880
0.3,2.0,40000,0.615
0.3,2.0,100000,0.506
0.3,2.0,500000,0.382
0.3,2.0,1000000,0.346
0.3,2.0,10000000,0.266
0.3,2.0,20000000,0.250
0.3,2.0,50000000,0.232
0.3,2.0,75000000,0.226
0.3,2.0,100000000,0.221
0.3,4.0,10000,0.879
0.3,4.0,40000,0.614
0.3,4.0,100000,0.505
0.3,4.0,500000,0.382
0.3,4.0,1000000,0.346
0.3,4.0,10000000,0.266
0.3,4.0,20000000,0.250
0.3,4.0,50000000,0.232
0.3,4.0,75000000,0.226
0.3,4.0,100000000,0.221
0.3,6.0,10000,0.877
0.3,6.0,40000,0.613
0.3,6.0,100000,0.504
0.3,6.0,500000,0.381
0.3,6.0,1000000,0.345
0.3,6.0,10000000,0.266
0.3,6.0,20000000,0.249
0.3,6.0,50000000,0.232
0.3,6.0,75000000,0.225
0.3,6.0,100000000,0.221
0.3,8.0,10000,0.875
0.3,8.0,40000,0.611
0.3,8.0,100000,0.503
0.3,8.0,500000,0.380
0.3,8.0,1000000,0.344
0.3,8.0,10000000,0.264
0.3,8.0,20000000,0.248
0.3,8.0,50000000,0.231
0.3,8.0,75000000,0.224
0.3,8.0,100000000,0.220
0.3,10.0,10000,0.871
0.3,10.0,40000,0.608
0.3,10.0,100000,0.500
0.3,10.0,500000,0.378
0.3,10.0,1000000,0.342
0.3,10.0,10000000,0.263
0.3,10.0,20000000,0.247
0.3,10.0,50000000,0.229
0.3,10.0,75000000,0.223
0.3,10.0,100000000,0.218
0.3,12.0,10000,0.866
0.3,12.0,40000,0.604
0.3,12.0,100000,0.496
0.3,12.0,500000,0.374
0.3,12.0,1000000,0.339
0.3,12.0,10000000,0.260
0.3,12.0,20000000,0.244
0.3,12.0,50000000,0.227
0.3,12.0,75000000,0.220
0.3,12.0,100000000,0.216
0.3,14.0,10000,0.859
0.3,14.0,40000,0.598
0.3,14.0,100000,0.491
0.3,14.0,500000,0.370
0.3,14.0,1000000,0.334
0.3,14.0,10000000,0.255
0.3,14.0,20000000,0.240
0.3,14.0,50000000,0.222
0.3,14.0,75000000,0.216
0.3,14.0,100000000,0.211
0.3,16.0,10000,0.850
0.3,16.0,40000,0.590
0.3,16.0,100000,0.483
0.3,16.0,500000,0.363
0.3,16.0,1000000,0.327
0.3,16.0,10000000,0.249
0.3,16.0,20000000,0.233
0.3,16.0,50000000,0.216
