0.45    -3.684  
 0.95    -7.127  
 1.45    -9.122  
 1.95    -10.534  
 2.45    -11.646  
 2.95    -12.578  
 3.45    -13.380  
 3.95    -14.065  
 4.45    -14.653  
 4.95    -15.171  
 5.45    -15.639  
 5.95    -16.062  
 6.45    -16.446  
 6.95    -16.801  
 7.45    -17.128  
 7.95    -17.432  
 8.45    -17.715  
 8.95    -17.980  
 9.45    -18.227  
 9.95    -18.459  
 10.45    -18.678  
 10.95    -18.883  
 11.45    -19.077  
 11.95    -19.261  
 12.45    -19.435  
 12.95    -19.600  
 13.45    -19.762  
 13.95    -19.927  
 14.45    -20.097  
 14.95    -20.269  
 15.45    -20.445  
 15.95    -20.625  
 16.45    -20.807  
 16.95    -20.993  
 17.45    -21.182  
 17.95    -21.374  
 18.45    -21.569  
 18.95    -21.767  
 19.45    -21.968  
 19.95    -22.172  
 20.45    -22.379  
 20.95    -22.589  
 21.45    -22.802  
 21.95    -23.017  
 22.45    -23.235  
 22.95    -23.456  
 23.45    -23.680  
 23.95    -23.906  
 24.45    -24.135  
 24.95    -24.367  
 25.45    -24.601  
 
