timea	dac1	dac2	dac3	dac3
1.65	0.055550095	0.033129055	-0.12196594	-0.099544905
1.6799999	0.052751813	0.031518124	-0.12153672	-0.10030303
1.71	0.04546823	0.02691678	-0.11673754	-0.098186091
1.74	0.042851184	0.025194231	-0.11658628	-0.098929323
1.77	0.035889704	0.020448688	-0.11185175	-0.096410736
1.8	0.031217506	0.01721717	-0.10706167	-0.093061335
1.83	0.027322635	0.014342654	-0.1068961	-0.093916126
1.86	0.022855217	0.011176093	-0.10199066	-0.090311535
1.89	0.01675879	0.006667371	-0.096948631	-0.086857215
1.92	0.015309138	0.005412532	-0.09699101	-0.087094404
1.95	0.009254172	0.000621962	-0.092255086	-0.08362288
1.98	0.007814639	-0.000801239	-0.092584535	-0.083968662
2.01	0.001281926	-0.006246851	-0.088157751	-0.080628969
2.04	-0.000213158	-0.007896167	-0.088843882	-0.081160873
2.0699999	-0.007415221	-0.01403984	-0.084237732	-0.077613115
2.0999999	-0.013335456	-0.018640114	-0.078719981	-0.073415324
2.1300001	-0.016199145	-0.022207217	-0.080863655	-0.074855581
2.1600001	-0.022128807	-0.026879586	-0.075566314	-0.070815533
2.1900001	-0.029682195	-0.033630617	-0.071912698	-0.067964278
2.22	-0.031333745	-0.03578984	-0.073748499	-0.069292404
2.25	-0.039404854	-0.043208931	-0.071974158	-0.068170078
2.28	-0.041587688	-0.045972977	-0.075115122	-0.070729837
2.3099999	-0.050478935	-0.054318059	-0.075955987	-0.072116859
2.3399999	-0.053156096	-0.057655163	-0.080534138	-0.076035067
2.3699999	-0.062375031	-0.066459335	-0.083787732	-0.079703435
2.4000001	-0.068334706	-0.071397215	-0.082474381	-0.079411872
2.4300001	-0.074276321	-0.078831114	-0.094535187	-0.089980394
2.46	-0.079455324	-0.083112106	-0.093942478	-0.090285689
2.49	-0.086718984	-0.090368517	-0.099970691	-0.096321158
2.52	-0.089209475	-0.093709104	-0.10642027	-0.10192064
2.55	-0.094487242	-0.099272206	-0.11258344	-0.10779848
2.5799999	-0.096328467	-0.10206781	-0.11881568	-0.11307634
2.6099999	-0.12010193	-0.12639768	-0.14489868	-0.13860293
2.6400001	-0.12202768	-0.12936726	-0.15139362	-0.14405406
2.6700001	-0.12355625	-0.13185431	-0.15673545	-0.1484374
2.7	-0.12250445	-0.13095039	-0.15612742	-0.14768149
2.73	-0.1230647	-0.1339643	-0.165999	-0.15509941
2.76	-0.11956254	-0.13095978	-0.16409107	-0.15269382
2.79	-0.11386655	-0.12738137	-0.16548875	-0.15197393
2.8199999	-0.11233614	-0.12720272	-0.16832432	-0.15345775
2.8499999	-0.10518412	-0.1225387	-0.1687347	-0.15138012
2.8800001	-0.10311955	-0.12183954	-0.17062829	-0.15190832
2.9100001	-0.094840512	-0.11623523	-0.16978607	-0.14839135
2.9400001	-0.092445284	-0.11514023	-0.17080286	-0.14810793
2.97	-0.083293743	-0.10866091	-0.16857816	-0.14321098
3	-0.076651067	-0.10349499	-0.16581348	-0.13896954
3.03	-0.070872404	-0.099745728	-0.16464861	-0.13577528
3.0599999	-0.064227059	-0.094443463	-0.16143985	-0.13122346
3.0899999	-0.054786779	-0.086985819	-0.15672281	-0.12452377
3.1199999	-0.051902853	-0.08466652	-0.1549501	-0.12218643
3.1500001	-0.04337354	-0.077456951	-0.14955153	-0.11546811
3.1800001	-0.04087111	-0.075181253	-0.14741436	-0.1131042
3.21	-0.033839479	-0.06875626	-0.14194587	-0.10702909
3.24	-0.032104973	-0.066926263	-0.13991416	-0.10509287
3.27	-0.027194889	-0.061945241	-0.13519092	-0.10044056
3.3	-0.02446541	-0.059111334	-0.13252287	-0.097876936
3.3299999	-0.023541551	-0.057350952	-0.13001859	-0.096209191
3.3599999	-0.021946294	-0.055353437	-0.12778896	-0.094381824
3.3900001	-0.021078359	-0.053359017	-0.1247531	-0.092472434
3.4200001	-0.021324098	-0.053075526	-0.12404516	-0.092293732
3.45	-0.021152737	-0.051596131	-0.12113527	-0.090691879
3.48	-0.021420769	-0.051354229	-0.12044977	-0.090516306
3.51	-0.021630317	-0.050120544	-0.11723914	-0.08874891
3.54	-0.021927023	-0.049953092	-0.1165566	-0.088530533
3.5699999	-0.022564158	-0.04911115	-0.11326537	-0.086718373
3.5999999	-0.023265777	-0.0486647	-0.1105169	-0.085117973
3.6300001	-0.024190452	-0.048967585	-0.10993454	-0.085157402
3.6600001	-0.025403555	-0.048991192	-0.10751426	-0.083926626
3.6900001	-0.027780823	-0.049966242	-0.10561626	-0.083430842
3.72	-0.028743383	-0.050865475	-0.10641699	-0.0842949
3.75	-0.031866826	-0.052906163	-0.10597585	-0.084936514
3.78	-0.032982539	-0.054177456	-0.1074309	-0.086235978
3.8099999	-0.036109429	-0.056587476	-0.10773201	-0.087253958
3.8399999	-0.036997437	-0.057854395	-0.10947699	-0.088620037
3.8699999	-0.039388657	-0.059859585	-0.10981922	-0.089348286
3.9000001	-0.040782262	-0.060511272	-0.10843109	-0.088702083
3.9300001	-0.04117297	-0.062076978	-0.11155711	-0.090653107
3.96	-0.062355943	-0.082660966	-0.13042049	-0.11011547
3.99	-0.062445641	-0.082880005	-0.13002396	-0.10958959
4.02	-0.062132493	-0.083233088	-0.13132808	-0.11022748
4.0500002	-0.061392762	-0.082776308	-0.1307091	-0.10932556
4.0799999	-0.060299892	-0.082336523	-0.13126396	-0.10922733
4.1100001	-0.055696987	-0.077917941	-0.12694743	-0.10472647
4.1399999	-0.05263941	-0.075354204	-0.12544759	-0.10273279
4.1700001	-0.046725895	-0.069322385	-0.11977696	-0.097180463
4.1999998	-0.043923736	-0.066069059	-0.11612646	-0.093981132
4.23	-0.03857293	-0.060923453	-0.11285078	-0.09050025
4.2600002	-0.036349643	-0.058122937	-0.10977814	-0.088004842
4.29	-0.032804545	-0.053851511	-0.10610245	-0.085055485
4.3200002	-0.031625699	-0.052425168	-0.10532769	-0.084528223
4.3499999	-0.030472206	-0.05032951	-0.10355216	-0.08369486
4.3800001	-0.030471846	-0.049973875	-0.10358944	-0.084087409
4.4099998	-0.031448212	-0.049955655	-0.10338033	-0.084872879
4.4400001	-0.032394562	-0.050561905	-0.10410444	-0.085937098
4.4699998	-0.034783315	-0.052106716	-0.10491	-0.087586597
4.5	-0.036093209	-0.052925985	-0.10486678	-0.088033997
4.5300002	-0.039141364	-0.055601638	-0.10689867	-0.090438403
4.5599999	-0.040475208	-0.056557491	-0.10670964	-0.090627357
4.5900002	-0.042811543	-0.058457084	-0.10682305	-0.091177508
4.6199999	-0.043736652	-0.05929428	-0.10708647	-0.09152884
4.6500001	-0.045200534	-0.060358759	-0.10618372	-0.091025494
4.6799998	-0.045833372	-0.060966041	-0.10617919	-0.091046527
4.71	-0.046741508	-0.06149222	-0.10470109	-0.089950375
4.7399998	-0.047079772	-0.061818328	-0.10449772	-0.089759171
4.77	-0.047581725	-0.061893273	-0.10273166	-0.088420108
4.8000002	-0.047740173	-0.06165757	-0.10127251	-0.087355107
4.8299999	-0.04804166	-0.061829828	-0.10068642	-0.08689826
4.8600001	-0.048121035	-0.061492931	-0.099315569	-0.085943669
4.8899999	-0.048233226	-0.061116967	-0.097826056	-0.084942311
4.9200001	-0.048341285	-0.06110682	-0.097621188	-0.084855653
4.9499998	-0.048277114	-0.060617283	-0.096504726	-0.084164552
4.98	-0.048354421	-0.060575731	-0.096388467	-0.084167153
5.0100002	-0.048181184	-0.060028166	-0.095475256	-0.083628275
5.04	-0.048259702	-0.059986871	-0.095386587	-0.08365941
5.0700002	-0.047997769	-0.059408966	-0.094540134	-0.083128937
5.0999999	-0.047523033	-0.058832392	-0.09393575	-0.082626387
5.1300001	-0.04783766	-0.058787946	-0.093329191	-0.082378902
5.1599998	-0.047307894	-0.058176842	-0.092646986	-0.081778035
5.1900001	-0.046527918	-0.057084803	-0.090955518	-0.080398642
5.2199998	-0.046259303	-0.056532364	-0.089773461	-0.0795004
5.25	-0.044315405	-0.054111365	-0.086359397	-0.07656344
5.2800002	-0.043316819	-0.052723575	-0.084181391	-0.074774638
5.3099999	-0.039654776	-0.048324745	-0.078684039	-0.070014067
5.3400002	-0.037758693	-0.045884959	-0.075462013	-0.067335755
5.3699999	-0.032451268	-0.039494675	-0.068100408	-0.061057005
5.4000001	-0.029176431	-0.035657544	-0.064058505	-0.057577394
5.4299998	-0.023439588	-0.028330125	-0.055522896	-0.050632361
5.46	-0.019854695	-0.024008913	-0.051122069	-0.046967853
5.4899998	-0.013333661	-0.015744545	-0.042324707	-0.039913826
5.52	-0.010554099	-0.011991722	-0.038102798	-0.036665175
5.5500002	-0.005292056	-0.004852384	-0.030490367	-0.030930039
5.5799999	-0.003289866	-0.001871307	-0.027014636	-0.028433194
5.6100001	0.000147646	0.003366613	-0.021238502	-0.024457468
5.6399999	0.001181837	0.005279614	-0.018712332	-0.022810109
5.6700001	0.002681598	0.008309517	-0.014952234	-0.020580152
5.6999998	0.003136749	0.009432868	-0.013703111	-0.01999923
5.73	0.002826952	0.010260572	-0.011312467	-0.018746087
5.7600002	0.002577217	0.010483129	-0.010858218	-0.018764129
5.79	0.001435958	0.010042899	-0.010140587	-0.018747527
5.8200002	0.000683232	0.009500487	-0.00982659	-0.018643845
5.8499999	-0.000904775	0.008206249	-0.009851069	-0.018962093
5.8800001	-0.001701968	0.007427281	-0.009793022	-0.018922271
5.9099998	-0.003213691	0.005927743	-0.010086527	-0.019227959
5.9400001	-0.0038629	0.005173548	-0.010030543	-0.019066991
5.9699998	-0.00502113	0.003870908	-0.010143806	-0.019035844
6	-0.005578397	0.003273913	-0.010250491	-0.019102801
6.0300002	-0.006072606	0.002529513	-0.009748424	-0.018350542
6.0599999	-0.006462821	0.002125375	-0.009743017	-0.018331213
6.0900002	-0.005462947	0.003070372	-0.008009682	-0.016543001
6.1199999	-0.005681466	0.002816793	-0.007902515	-0.016400773
6.1500001	-0.006466818	0.002119211	-0.008122348	-0.016708378
6.1799998	-0.006791469	0.001824934	-0.008193611	-0.016810013
6.21	-0.007894037	0.000938384	-0.008865037	-0.017697459
6.2399998	-0.008482941	0.000413884	-0.009242769	-0.018139593
6.27	-0.010175258	-0.001008849	-0.010597629	-0.019764036
6.3000002	-0.01116776	-0.001789076	-0.011480521	-0.020859206
6.3299999	-0.012581758	-0.003117678	-0.012550899	-0.022014979
6.3600001	-0.013456874	-0.003801459	-0.013355985	-0.023011399
6.3899999	-0.014749213	-0.004937924	-0.014434635	-0.024245925
6.4200001	-0.015125313	-0.005352144	-0.014662694	-0.024435863
6.4499998	-0.015737345	-0.00593976	-0.0150752	-0.024872785
6.48	-0.015742352	-0.006043806	-0.014935641	-0.024634186
6.5100002	-0.015536684	-0.005929442	-0.014525875	-0.024133118
6.54	-0.015109613	-0.005649057	-0.013947515	-0.02340807
6.5700002	-0.014155042	-0.004863223	-0.012769282	-0.0220611
6.5999999	-0.013680516	-0.004444444	-0.012193529	-0.0214296
6.6300001	-0.012074864	-0.003140099	-0.010301861	-0.019236624
6.6599998	-0.011512192	-0.002652338	-0.009624988	-0.018484842
6.6900001	-0.010230108	-0.001589364	-0.008095219	-0.016735964
6.7199998	-0.009535832	-0.00100744	-0.00728767	-0.015816063
6.75	-0.008686586	-0.000342656	-0.006232915	-0.014576844
6.7800002	-0.008269017	-3.87E-06	-0.005736305	-0.014001453
6.8099999	-0.008042955	8.86E-05	-0.005378349	-0.013509901
6.8400002	-0.007924612	0.000158984	-0.005221473	-0.013305068
6.8699999	-0.00826006	-0.000268951	-0.005504032	-0.013495141
6.9000001	-0.008682087	-0.000737131	-0.005914259	-0.013859216
6.9299998	-0.00904544	-0.001142501	-0.006310434	-0.014213372
6.96	-0.009553514	-0.001684659	-0.006839949	-0.014708804
6.9899998	-0.010259188	-0.002438866	-0.00761866	-0.015438981
7.02	-0.010424022	-0.002625043	-0.007829013	-0.015627991
7.0500002	-0.010893534	-0.003149193	-0.008391881	-0.016136223
7.0799999	-0.010907781	-0.003195229	-0.008452695	-0.016165247
7.1100001	-0.011028316	-0.003387702	-0.00865616	-0.016296774
7.1399999	-0.01084812	-0.00325172	-0.008510456	-0.016106855
7.1700001	-0.010612056	-0.003107402	-0.00833094	-0.015835594
