Time (s),Thrust (N),mdot (kg/s)
0.0,86878.1269009613,34.31101260808061
0.01,86885.3157628018,34.313851724645914
0.02,86891.11226766834,34.316140953922066
0.03,86896.89436314817,34.318424492460316
0.04,86902.68098557634,34.320709818838466
0.05,86908.48860485433,34.32300343755906
0.060000000000000005,86914.29663365195,34.32529721801234
0.07,86920.10485556496,34.32759107473321
0.08,86925.9222921947,34.32988857064696
0.09,86931.75631965513,34.33219261882216
0.09999999999999999,86937.5907118847,34.33449681105662
0.10999999999999999,86943.42529870592,34.336801080141676
0.11999999999999998,86949.27366603405,34.33911079159944
0.12999999999999998,86955.13418252673,34.341425301159475
0.13999999999999999,86960.99501892192,34.34373993705947
0.15,86966.85605125918,34.34605465034339
0.16,86972.73545953078,34.34837662088455
0.17,86978.62254305038,34.35070162263207
0.18000000000000002,86984.50990112072,34.35302673280865
0.19000000000000003,86990.39745622467,34.355351920800246
0.20000000000000004,86996.30801134631,34.35768619225076
0.21000000000000005,87002.22173645232,34.360021715631746
0.22000000000000006,87008.13569068881,34.362357329503844
0.23000000000000007,87014.05169539973,34.36469375317533
0.24000000000000007,87019.99166529634,34.36703964148214
0.25000000000000006,87025.932084074,34.36938570706674
0.26000000000000006,87031.87270514981,34.3717318525455
0.2700000000000001,87037.81999163344,34.374080630411726
0.2800000000000001,87043.78674015943,34.376437094474745
0.2900000000000001,87049.75389234924,34.3787937179578
0.3000000000000001,87055.72124809444,34.38115042183154
0.3100000000000001,87061.69991017766,34.38351159094779
0.3200000000000001,87067.69350216321,34.385878656370586
0.3300000000000001,87073.68745214371,34.38824586317729
0.34000000000000014,87079.6816069445,34.390613150874216
0.35000000000000014,87085.69173360076,34.39298674637903
0.36000000000000015,87091.7122307227,34.395364437519774
0.37000000000000016,87097.73303960197,34.3977422517837
0.38000000000000017,87103.75405457374,34.40012014744028
0.3900000000000002,87109.7957295408,34.40250620240444
0.4000000000000002,87115.84318945542,34.40489454203352
0.4100000000000002,87121.89091500717,34.407282986571374
0.4200000000000002,87127.93884779821,34.40967151295481
0.4300000000000002,87134.01214959868,34.41207005838945
0.4400000000000002,87140.0866269476,34.41446906808661
0.45000000000000023,87146.1613230132,34.41686816416213
0.46000000000000024,87152.2402080841,34.4192689146128
0.47000000000000025,87158.34127094538,34.42167842379795
0.48000000000000026,87164.44277494961,34.42408810720487
0.49000000000000027,87170.54449174121,34.42649787464847
0.5000000000000002,87176.65510321631,34.42891115489339
0.5100000000000002,87182.7832787873,34.43133137177399
0.5200000000000002,87188.9118489837,34.43375174450507
0.5300000000000002,87195.04063327622,34.4361722017897
0.5400000000000003,87201.18303626274,34.43859803754183
0.5500000000000003,87207.33836817791,34.44102897935056
0.5600000000000003,87213.49404755421,34.44346005838307
0.5700000000000003,87219.64994261034,34.445891222594575
0.5800000000000003,87225.82419674126,34.44832963740494
0.5900000000000003,87232.00672429276,34.450771319659566
0.6000000000000003,87238.18955245138,34.45321312063378
0.6100000000000003,87244.37259734503,34.455655007203724
0.6200000000000003,87250.57875639561,34.45810602230992
0.6300000000000003,87256.78851553946,34.460558459210645
0.6400000000000003,87262.99852796302,34.463010996139815
0.6500000000000004,87269.21035843618,34.46546425107619
0.6600000000000004,87275.44688682594,34.467927260027295
0.6700000000000004,87281.68389264826,34.47039045753212
0.6800000000000004,87287.92112046035,34.47285374270796
0.6900000000000004,87294.16492374316,34.47531962475216
0.7000000000000004,87300.42874107891,34.477793411000185
0.7100000000000004,87306.69298818198,34.48026736697738
0.7200000000000004,87312.95745862227,34.48274141115773
0.7300000000000004,87319.2332745167,34.48521993602884
0.7400000000000004,87325.52440424552,34.48770450883381
0.7500000000000004,87331.8159162953,34.490189232629824
0.7600000000000005,87338.1076533052,34.49267404526994
0.7700000000000005,87344.41551455372,34.49516522589904
0.7800000000000005,87350.73397652718,34.49766059310098
0.7900000000000005,87357.05277294619,34.50015609238642
0.8000000000000005,87363.37179541831,34.5026516809476
0.8100000000000005,87369.71172946051,34.50515552817148
0.8200000000000005,87376.0575387961,34.507661695740794
0.8300000000000005,87382.40363483233,34.510167976537566
0.8400000000000005,87388.74995855713,34.51267434725599
0.8500000000000005,87395.12198540011,34.5151908689761
0.8600000000000005,87401.49515335563,34.51770784135885
0.8700000000000006,87407.8685600167,34.52022490801423
0.8800000000000006,87414.24634576905,34.522743704115925
0.8900000000000006,87420.64637313562,34.525271284158215
0.9000000000000006,87427.04686335645,34.52779904699679
0.9100000000000006,87433.44758675518,34.53032690192494
0.9200000000000006,87439.85748982088,34.53285838220368
0.9300000000000006,87446.28488307085,34.53539676992799
0.9400000000000006,87452.71269103726,34.53793532143739
0.9500000000000006,87459.14073356858,34.540473965584134
0.9600000000000006,87465.58275871519,34.543018131922786
0.9700000000000006,87472.03751569486,34.545567326478555
0.9800000000000006,87478.49263916338,34.54811666577275
0.9900000000000007,87484.94799885862,34.550666098360615
1.0000000000000007,87491.42214368342,34.55322294981027
1.0100000000000007,87497.9042581165,34.555782948718786
1.0200000000000007,87504.38669061217,34.55834307324062
1.0300000000000007,87510.86936059916,34.56090329155553
1.0400000000000007,87517.37561594711,34.56347282450057
1.0500000000000007,87523.88507642965,34.56604362325804
1.0600000000000007,87530.39480677778,34.56861452859425
1.0700000000000007,87536.9068718172,34.57118635597639
1.0800000000000007,87543.4431474842,34.57376774492686
1.0900000000000007,87549.97991660851,34.57634932875976
1.1000000000000008,87556.51692863753,34.57893100852368
1.1100000000000008,87563.06109015123,34.58151551185283
1.1200000000000008,87569.62467410382,34.58410768573807
1.1300000000000008,87576.18870269279,34.58670003522476
1.1400000000000008,87582.75297586877,34.58929248130685
1.1500000000000008,87589.32920751369,34.59188965017928
1.1600000000000008,87595.92007422348,34.5944925989173
1.1700000000000008,87602.51133727621,34.5970957041841
1.1800000000000008,87609.10284619973,34.59969890655331
1.1900000000000008,87615.7111143351,34.60230872768318
1.2000000000000008,87622.32923368798,34.60492243938092
1.2100000000000009,87628.94770083799,34.607536288435114
1.2200000000000009,87635.56641555074,34.61015023525992
1.2300000000000009,87642.20667871098,34.612772692271136
1.2400000000000009,87648.85201580673,34.61539715314535
1.2500000000000009,87655.49765219798,34.61802173222115
1.260000000000001,87662.1437575879,34.62064649651986
1.270000000000001,87668.81574908516,34.62328148408865
1.280000000000001,87675.48826173645,34.625916677478195
1.290000000000001,87682.16102739488,34.628551970788536
1.300000000000001,87688.83907248278,34.63118934911818
1.310000000000001,87695.53819513568,34.633835051667326
1.320000000000001,87702.23779000554,34.636480940710385
1.330000000000001,87708.93763944892,34.639126930292846
1.340000000000001,87715.64756455242,34.64177689908289
1.350000000000001,87722.37376835069,34.644433296861706
1.360000000000001,87729.10039550556,34.64708986183788
1.370000000000001,87735.82727866959,34.64974652792044
1.380000000000001,87742.5690161352,34.65240906045232
1.390000000000001,87749.32224547928,34.65507613150272
1.400000000000001,87756.07584982934,34.65774335065523
1.410000000000001,87762.82971162732,34.660410671482346
1.420000000000001,87769.60318570315,34.66308573783917
1.430000000000001,87776.38338014596,34.66576345828861
1.440000000000001,87783.16390110941,34.668441307691744
1.450000000000001,87789.9446808283,34.671119259285845
1.460000000000001,87796.74980754236,34.67380682630432
1.470000000000001,87803.55690118264,34.676495170126266
1.480000000000001,87810.36427302401,34.67918362381891
1.490000000000001,87817.17523771843,34.681873496446684
1.500000000000001,87824.00862770413,34.68457222555513
1.5100000000000011,87830.84251435995,34.68727115081485
1.5200000000000011,87837.67666575403,34.689970180628364
1.5300000000000011,87844.51917144496,34.692672509826835
1.5400000000000011,87851.37931156543,34.69538180343804
