Mach,alpha_deg,Cd,Cn,Cm
11.0,12.0,0.396,1.076,-0.173
11.0,16.0,0.635,1.613,-0.446
11.0,20.0,0.986,2.264,-0.884
13.0,-20.0,0.964,-2.223,-0.749
13.0,-16.0,0.617,-1.581,-0.343
13.0,-12.0,0.381,-1.057,-0.148
13.0,-8.0,0.232,-0.611,-0.042
13.0,-4.0,0.155,-0.253,0.05
13.0,-2.0,0.139,-0.106,0.05
13.0,0.0,0.134,0.0,0.0
13.0,2.0,0.139,0.106,0.05
13.0,4.0,0.155,0.253,0.05
13.0,8.0,0.232,0.611,-0.042
13.0,12.0,0.381,1.057,-0.148
13.0,16.0,0.617,1.581,-0.343
13.0,20.0,0.964,2.223,-0.749
