Mach,alpha_deg,Cmq,Cnq,Clp
7.0,-12.0,-5.822,0.862,-0.043
7.0,-8.0,-5.649,0.845,-0.036
7.0,-4.0,-5.324,0.805,-0.032
7.0,-2.0,-5.244,0.793,-0.027
7.0,0.0,-5.238,0.788,-0.025
7.0,2.0,-5.244,0.793,-0.027
7.0,4.0,-5.324,0.805,-0.032
7.0,8.0,-5.649,0.845,-0.036
7.0,12.0,-5.822,0.862,-0.043
7.0,16.0,-5.956,0.876,-0.052
7.0,20.0,-6.106,0.895,-0.03
7.0,24.0,-6.261,0.934,-0.052
10.0,-24.0,-5.925,0.864,-0.043
10.0,-20.0,-5.913,0.871,-0.043
10.0,-16.0,-5.925,0.883,-0.04
10.0,-12.0,-5.918,0.884,-0.033
10.0,-8.0,-5.801,0.872,-0.028
10.0,-4.0,-5.434,0.827,-0.026
10.0,-2.0,-5.075,0.773,-0.021
10.0,0.0,-4.828,0.732,-0.018
10.0,2.0,-5.075,0.773,-0.021
10.0,4.0,-5.434,0.827,-0.026
10.0,8.0,-5.801,0.872,-0.028
10.0,12.0,-5.918,0.884,-0.033
10.0,16.0,-5.925,0.883,-0.04
10.0,20.0,-5.913,0.871,-0.043
10.0,24.0,-5.925,0.864,-0.043
11.0,-24.0,-5.864,0.859,-0.041
11.0,-20.0,-5.974,0.883,-0.034
11.0,-16.0,-5.994,0.895,-0.035
11.0,-12.0,-6.003,0.902,-0.029
11.0,-8.0,-6.093,0.924,-0.022
11.0,-4.0,-5.724,0.874,-0.019
11.0,-2.0,-5.266,0.806,-0.017
11.0,0.0,-5.043,0.771,-0.015
11.0,2.0,-5.266,0.806,-0.017
11.0,4.0,-5.724,0.874,-0.019
11.0,8.0,-6.093,0.924,-0.022
11.0,12.0,-6.003,0.902,-0.029
11.0,16.0,-5.994,0.895,-0.035
11.0,20.0,-5.974,0.883,-0.034
11.0,24.0,-5.864,0.859,-0.041
12.0,-24.0,-6.017,0.893,-0.023
12.0,-20.0,-6.031,0.891,-0.027
12.0,-16.0,-6.14,0.917,-0.026
12.0,-12.0,-6.184,0.931,-0.022
12.0,-8.0,-6.289,0.955,-0.018
12.0,-4.0,-6.017,0.921,-0.015
12.0,-2.0,-5.617,0.861,-0.013
12.0,0.0,-5.507,0.843,-0.011
12.0,2.0,-5.617,0.861,-0.013
12.0,4.0,-6.017,0.921,-0.015
12.0,8.0,-6.289,0.955,-0.018
12.0,12.0,-6.184,0.931,-0.022
12.0,16.0,-6.14,0.917,-0.026
12.0,20.0,-6.031,0.891,-0.027
12.0,24.0,-6.017,0.893,-0.023
