Mach,alpha_deg,Cd,Cn,Cm
7.0,4.0,0.203,0.396,-0.244
7.0,8.0,0.331,0.937,-0.87
7.0,12.0,0.57,1.691,-2.434
7.0,16.0,0.966,2.716,-5.173
7.0,20.0,1.553,3.942,-8.446
7.0,24.0,1.553,5.324,-12.012
10.0,-24.0,1.498,-3.79,7.786
10.0,-20.0,1.498,-3.853,8.274
10.0,-16.0,0.918,-2.642,5.092
10.0,-12.0,0.527,-1.622,2.362
10.0,-8.0,0.289,-0.874,0.702
10.0,-4.0,0.171,-0.363,0.11
10.0,-2.0,0.146,-0.17,0.032
10.0,0.0,0.139,0.0,0.0
10.0,2.0,0.146,0.17,-0.032
10.0,4.0,0.171,0.363,-0.11
10.0,8.0,0.289,0.874,-0.702
10.0,12.0,0.527,1.622,-2.362
10.0,16.0,0.918,2.642,-5.092
10.0,20.0,1.498,3.853,-8.274
10.0,24.0,1.498,3.79,-7.786
11.0,-24.0,1.478,-3.797,8.153
11.0,-20.0,1.478,-3.797,8.159
11.0,-16.0,0.904,-2.594,5.024
11.0,-12.0,0.519,-1.58,2.339
11.0,-8.0,0.28,-0.832,0.596
11.0,-4.0,0.164,-0.381,0.026
11.0,-2.0,0.139,-0.169,-0.043
11.0,0.0,0.132,0.0,0.0
11.0,2.0,0.139,0.169,0.043
11.0,4.0,0.164,0.381,-0.026
11.0,8.0,0.28,0.832,-0.596
11.0,12.0,0.519,1.58,-2.339
11.0,16.0,0.904,2.594,-5.024
11.0,20.0,1.478,3.797,-8.159
11.0,24.0,1.478,3.797,-8.153
12.0,-24.0,1.473,-3.759,8.072
12.0,-20.0,1.473,-3.76,8.076
12.0,-16.0,0.897,-2.562,4.978
12.0,-12.0,0.51,-1.554,2.32
12.0,-8.0,0.274,-0.804,0.524
12.0,-4.0,0.159,-0.321,-0.071
12.0,-2.0,0.135,-0.143,-0.104
12.0,0.0,0.128,0.0,0.0
12.0,2.0,0.135,0.143,0.104
12.0,4.0,0.159,0.321,0.071
12.0,8.0,0.274,0.804,-0.524
12.0,12.0,0.51,1.554,-2.32
12.0,16.0,0.897,2.562,-4.978
12.0,20.0,1.473,3.76,-8.076
12.0,24.0,1.473,3.759,-8.072
