No of BETA is:  1
 CN                  
  $DEFLCT DELTA1 =0.0,0.0,0.0,0.0,$                                             
                      
    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
    0.162    0.163    0.171    0.168    0.119    0.099    0.086    0.081    0.079    0.077    0.077
    0.329    0.330    0.347    0.341    0.244    0.204    0.181    0.174    0.171    0.168    0.165
    0.668    0.673    0.706    0.694    0.514    0.444    0.413    0.386    0.373    0.365    0.359
    0.993    1.003    1.052    1.044    0.812    0.734    0.651    0.611    0.599    0.594    0.584
    1.240    1.249    1.314    1.346    1.124    1.001    0.886    0.851    0.841    0.829    0.824
    1.464    1.471    1.567    1.686    1.464    1.268    1.148    1.118    1.109    1.094    1.089
 CN                  
  $DEFLCT DELTA1 =-2.00,-2.00,2.00,2.00,$                                       
                      
   -0.079   -0.079   -0.086   -0.081   -0.036   -0.023   -0.013   -0.009   -0.007   -0.006   -0.005
    0.083    0.083    0.085    0.088    0.082    0.076    0.073    0.071    0.071    0.071    0.072
    0.247    0.248    0.258    0.259    0.206    0.180    0.167    0.164    0.163    0.161    0.159
    0.584    0.587    0.614    0.612    0.474    0.419    0.398    0.373    0.361    0.354    0.350
    0.913    0.920    0.961    0.964    0.772    0.708    0.633    0.595    0.584    0.579    0.572
    1.178    1.187    1.242    1.273    1.085    0.975    0.867    0.833    0.824    0.815    0.809
    1.430    1.440    1.520    1.620    1.425    1.241    1.128    1.099    1.089    1.076    1.071
 CN                  
  $DEFLCT DELTA1 =-4.00,-4.00,4.00,4.00,$                                       
                      
   -0.159   -0.160   -0.174   -0.161   -0.073   -0.046   -0.027   -0.019   -0.015   -0.013   -0.011
    0.005    0.004   -0.002    0.007    0.046    0.053    0.060    0.062    0.064    0.065    0.067
    0.168    0.168    0.170    0.178    0.169    0.157    0.154    0.154    0.156    0.155    0.153
    0.500    0.503    0.522    0.530    0.435    0.395    0.383    0.362    0.351    0.345    0.343
    0.826    0.832    0.867    0.882    0.732    0.683    0.616    0.581    0.571    0.567    0.561
    1.104    1.113    1.158    1.195    1.045    0.949    0.849    0.817    0.809    0.805    0.797
    1.375    1.385    1.452    1.547    1.386    1.214    1.109    1.081    1.072    1.060    1.057
 CN                  
  $DEFLCT DELTA1 =-8.00,-8.00,8.00,8.00,$                                       
                      
   -0.320   -0.324   -0.352   -0.321   -0.150   -0.094   -0.055   -0.041   -0.034   -0.030   -0.025
   -0.155   -0.157   -0.177   -0.153   -0.028    0.006    0.033    0.042    0.048    0.051    0.054
    0.010    0.009   -0.003    0.018    0.097    0.111    0.128    0.135    0.141    0.143    0.143
    0.337    0.338    0.343    0.366    0.360    0.348    0.356    0.342    0.335    0.331    0.330
    0.656    0.660    0.680    0.716    0.653    0.634    0.587    0.557    0.550    0.548    0.546
    0.934    0.939    0.970    1.029    0.965    0.899    0.817    0.791    0.785    0.782    0.779
    1.230    1.239    1.288    1.391    1.307    1.163    1.073    1.050    1.043    1.040    1.034
 CN                  
  $DEFLCT DELTA1 =-12.00,-12.00,12.00,12.00,$                                   
                      
   -0.479   -0.486   -0.526   -0.475   -0.225   -0.142   -0.087   -0.069   -0.060   -0.056   -0.046
   -0.315   -0.319   -0.352   -0.309   -0.104   -0.041    0.003    0.018    0.026    0.031    0.038
   -0.149   -0.152   -0.178   -0.140    0.022    0.065    0.100    0.114    0.123    0.127    0.130
    0.180    0.180    0.171    0.207    0.288    0.302    0.330    0.324    0.321    0.320    0.320
