Mach,alpha_deg,Cd,Cn,Cm
7.0,-12.0,0.283,-2.789,2.756
7.0,-8.0,0.193,-1.785,2.092
7.0,-4.0,0.141,-0.849,1.184
7.0,-2.0,0.129,-0.417,0.62
7.0,0.0,0.125,0.0,0.0
7.0,2.0,0.129,0.417,-0.62
7.0,4.0,0.141,0.849,-1.184
7.0,8.0,0.193,1.785,-2.092
7.0,12.0,0.283,2.789,-2.756
7.0,16.0,0.417,3.856,-3.364
7.0,20.0,0.599,5.025,-4.162
7.0,24.0,0.599,6.516,-5.052
7.0,45.0,0.8985,16.1,-33.47
7.0,90.0,0.7188,23.19,-34.43
7.0,135.0,0.7787,10.5,37.17
9.0,-24.0,0.588,-6.343,4.71
9.0,-20.0,0.588,-5.039,3.732
9.0,-16.0,0.404,-3.693,3.099
9.0,-12.0,0.267,-2.659,2.494
9.0,-8.0,0.176,-1.71,1.924
9.0,-4.0,0.124,-0.823,1.118
9.0,-2.0,0.112,-0.416,0.681
9.0,0.0,0.109,0.0,0.0
9.0,2.0,0.112,0.416,-0.681
9.0,4.0,0.124,0.823,-1.118
9.0,8.0,0.176,1.71,-1.924
9.0,12.0,0.267,2.659,-2.494
9.0,16.0,0.404,3.693,-3.099
9.0,20.0,0.588,5.039,-3.732
9.0,24.0,0.588,6.343,-4.71
9.0,45.0,0.8819999999999999,15.86,-32.8
9.0,90.0,0.7055999999999999,23.09,-35.09
9.0,135.0,0.7644,10.35,37.0
11.0,-24.0,0.578,-5.996,4.739
11.0,-20.0,0.578,-4.735,3.683
11.0,-16.0,0.395,-3.595,2.889
11.0,-12.0,0.259,-2.573,2.249
11.0,-8.0,0.167,-1.645,1.63
11.0,-4.0,0.116,-0.809,1.065
11.0,-2.0,0.104,-0.41,0.715
11.0,0.0,0.1,0.0,0.0
11.0,2.0,0.104,0.41,-0.715
11.0,4.0,0.116,0.809,-1.065
11.0,8.0,0.167,1.645,-1.63
11.0,12.0,0.259,2.573,-2.249
11.0,16.0,0.395,3.595,-2.889
11.0,20.0,0.578,4.735,-3.683
11.0,24.0,0.578,5.996,-4.739
11.0,45.0,0.867,15.74,-32.45
11.0,90.0,0.6935999999999999,22.98,-35.08
11.0,135.0,0.7514,10.27,36.88
13.0,-24.0,0.575,-5.93,4.616
13.0,-20.0,0.575,-4.672,3.569
13.0,-16.0,0.39,-3.532,2.722
13.0,-12.0,0.253,-2.532,2.19
13.0,-8.0,0.161,-1.597,1.385
13.0,-4.0,0.11,-0.79,0.993
13.0,-2.0,0.098,-0.408,0.752
13.0,0.0,0.094,0.0,0.0
13.0,2.0,0.098,0.408,-0.752
13.0,4.0,0.11,0.79,-0.993
13.0,8.0,0.161,1.597,-1.385
13.0,12.0,0.253,2.532,-2.19
13.0,16.0,0.39,3.532,-2.722
13.0,20.0,0.575,4.672,-3.569
13.0,24.0,0.575,5.93,-4.616
13.0,45.0,0.8624999999999999,15.66,-32.25
13.0,90.0,0.69,23.05,-36.6
13.0,135.0,0.7474999999999999,10.23,36.82
15.0,-24.0,0.573,-5.887,4.532
15.0,-20.0,0.573,-4.629,3.458
15.0,-16.0,0.388,-3.488,2.58
15.0,-12.0,0.25,-2.466,1.756
15.0,-8.0,0.157,-1.571,1.261
15.0,-4.0,0.106,-0.789,1.002
15.0,-2.0,0.094,-0.402,0.759
15.0,0.0,0.091,0.0,0.0
15.0,2.0,0.094,0.402,-0.759
15.0,4.0,0.106,0.789,-1.002
15.0,8.0,0.157,1.571,-1.261
15.0,12.0,0.25,2.466,-1.756
15.0,16.0,0.388,3.488,-2.58
15.0,20.0,0.573,4.629,-3.458
15.0,24.0,0.573,5.887,-4.532
15.0,45.0,0.8594999999999999,15.62,-32.14
15.0,90.0,0.6875999999999999,22.9,-35.17
15.0,135.0,0.7449,10.2,36.78
