time ,thrust [N],mdot [kg]
0.1233284,51030.424,22.1654893390353
0.1241617,51275.574,22.271972281671
0.124995,51461.888,22.3528993180741
0.1258283,51501.112,22.3699365888958
0.1266616,51403.052,22.3273434118415
0.1274949,51236.35,22.2549350108493
0.1283282,51167.708,22.2251197869113
0.1291615,51275.574,22.271972281671
0.1299948,51550.142,22.3912331774229
0.1308281,51765.874,22.4849381669423
0.1316614,51805.098,22.501975437764
0.1324947,51677.62,22.4466043075934
0.133328,51481.5,22.3614179534849
0.1341613,51304.992,22.2847502347873
0.1349946,51295.186,22.2804909170818
0.1358279,51452.082,22.3486400003686
0.1366612,51638.396,22.4295670367717
0.1374945,51697.232,22.4551229430043
0.1383278,51579.56,22.4040111305392
0.1391611,51324.604,22.2932688701981
0.1399944,51099.066,22.1953045629733
0.1408277,50991.2,22.1484520682136
0.141661,51099.066,22.1953045629733
0.1424943,51314.798,22.2890095524927
0.1433276,51481.5,22.3614179534849
0.1441609,51452.082,22.3486400003686
0.1449942,51295.186,22.2804909170818
0.1458275,51157.902,22.2208604692059
0.1466608,51197.126,22.2378977400276
0.1474941,51412.858,22.3316027295469
0.1483274,51697.232,22.4551229430043
0.1491607,51952.188,22.5658652033453
0.149994,51952.188,22.5658652033453
0.1508273,51746.262,22.4764195315314
0.1516606,51481.5,22.3614179534849
0.1524939,51295.186,22.2804909170818
0.1533272,51265.768,22.2677129639656
0.1541605,51373.634,22.3145654587252
0.1549938,51510.918,22.3741959066012
0.1558271,51481.5,22.3614179534849
0.1566604,51304.992,22.2847502347873
0.1574937,51108.872,22.1995638806787
0.158327,50951.976,22.1314147973919
0.1591603,51020.618,22.1612300213299
0.1599936,51275.574,22.271972281671
0.1608269,51569.754,22.3997518128337
0.1616602,51814.904,22.5062347554694
0.1624935,51844.322,22.5190127085857
0.1633268,51775.68,22.4891974846477
0.1641601,51765.874,22.4849381669423
0.1649934,51883.546,22.5360499794074
0.1658267,52060.054,22.612717698105
0.16666,52197.338,22.672348145981
0.1674933,52207.144,22.6766074636864
0.1683266,52060.054,22.612717698105
0.1691599,51824.71,22.5104940731748
0.1699932,51540.336,22.3869738597175
0.1708265,51324.604,22.2932688701981
0.1716598,51334.41,22.2975281879035
0.1724931,51520.724,22.3784552243066
0.1733264,51667.814,22.442344989888
0.1741597,51658.008,22.4380856721826
0.174993,51471.694,22.3571586357795
0.1758263,51314.798,22.2890095524927
0.1766596,51295.186,22.2804909170818
0.1774929,51334.41,22.2975281879035
0.1783262,51442.276,22.3443806826632
0.1791595,51628.59,22.4253077190663
0.1799928,51756.068,22.4806788492368
0.1808261,51697.232,22.4551229430043
0.1816594,51530.53,22.382714542012
0.1824927,51393.246,22.3230840941361
0.183326,51393.246,22.3230840941361
0.1841593,51442.276,22.3443806826632
0.1849926,51540.336,22.3869738597175
0.1858259,51667.814,22.442344989888
0.1866592,51736.456,22.472160213826
0.1874925,51658.008,22.4380856721826
0.1883258,51471.694,22.3571586357795
0.1891591,51344.216,22.301787505609
0.1899924,51412.858,22.3316027295469
0.1908257,51638.396,22.4295670367717
0.191659,51785.486,22.4934568023531
0.1924923,51775.68,22.4891974846477
0.1933256,51707.038,22.4593822607097
0.1941589,51579.56,22.4040111305392
0.1949922,51471.694,22.3571586357795
0.1958255,51461.888,22.3528993180741
0.1966588,51510.918,22.3741959066012
0.1974921,51638.396,22.4295670367717
0.1983254,51746.262,22.4764195315314
0.1991587,51687.426,22.4508636252989
0.199992,51520.724,22.3784552243066
0.2008253,51363.828,22.3103061410198
0.2016586,51334.41,22.2975281879035
0.2024919,51403.052,22.3273434118415
0.2033252,51540.336,22.3869738597175
0.2041585,51707.038,22.4593822607097
0.2049918,51746.262,22.4764195315314
0.2058251,51618.784,22.4210484013609
0.2066584,51442.276,22.3443806826632
0.2074917,51403.052,22.3273434118415
0.208325,51481.5,22.3614179534849
0.2091583,51677.62,22.4466043075934
0.2099916,51903.158,22.5445686148182
0.2108249,52128.696,22.642532922043
0.2116582,52265.98,22.702163369919
0.2124915,52275.786,22.7064226876244
0.2133248,52207.144,22.6766074636864
0.2141581,52050.248,22.6084583803996
0.2149914,51952.188,22.5658652033453
0.2158247,51893.352,22.5403092971128
0.216658,51824.71,22.5104940731748
0.2174913,51667.814,22.442344989888
0.2183246,51432.47,22.3401213649578
0.2191579,51128.484,22.2080825160896
0.2199912,50942.17,22.1271554796865
0.2208245,50961.782,22.1356741150974
0.2216578,51187.32,22.2336384223221
0.2224911,51432.47,22.3401213649578
0.2233244,51520.724,22.3784552243066
0.2241577,51540.336,22.3869738597175
0.224991,51569.754,22.3997518128337
0.2258243,51628.59,22.4253077190663
0.2266576,51775.68,22.4891974846477
0.2274909,51961.994,22.5701245210508
0.2283242,52089.472,22.6254956512213
0.2291575,52148.308,22.6510515574539
0.2299908,52060.054,22.612717698105
0.2308241,51883.546,22.5360499794074
0.2316574,51677.62,22.4466043075934
0.2324907,51520.724,22.3784552243066
0.233324,51491.306,22.3656772711903
0.2341573,51481.5,22.3614179534849
0.2349906,51501.112,22.3699365888958
0.2358239,51530.53,22.382714542012
0.2366572,51422.664,22.3358620472524
0.2374905,51295.186,22.2804909170818
0.2383238,51295.186,22.2804909170818
0.2391571,51412.858,22.3316027295469
0.2399904,51579.56,22.4040111305392
0.2408237,51746.262,22.4764195315314
0.241657,51873.74,22.5317906617019
0.2424903,51903.158,22.5445686148182
0.2433236,51805.098,22.501975437764
0.2441569,51687.426,22.4508636252989
0.2449902,51677.62,22.4466043075934
0.2458235,51775.68,22.4891974846477
0.2466568,51824.71,22.5104940731748
0.2474901,51805.098,22.501975437764
0.2483234,51746.262,22.4764195315314
0.2491567,51677.62,22.4466043075934
0.24999,51569.754,22.3997518128337
0.2508233,51461.888,22.3528993180741
0.2516566,51452.082,22.3486400003686
0.2524899,51559.948,22.3954924951283
