Mach,alpha_deg,Cmq,Cnq,Clp
9.0,-12.0,-25.448,2.718,-2.447
9.0,-8.0,-25.528,2.726,-2.382
9.0,-4.0,-24.735,2.648,-2.077
9.0,-2.0,-24.112,2.587,-1.978
9.0,0.0,-23.472,2.523,-1.934
9.0,2.0,-24.112,2.587,-1.978
9.0,4.0,-24.735,2.648,-2.077
9.0,8.0,-25.528,2.726,-2.382
9.0,12.0,-25.448,2.718,-2.447
9.0,16.0,-25.05,2.679,-2.77
9.0,20.0,-24.788,2.653,-3.017
9.0,24.0,-24.865,2.661,-3.124
11.0,-24.0,-24.737,2.65,-2.92
11.0,-20.0,-25.182,2.694,-2.774
11.0,-16.0,-25.426,2.718,-2.613
11.0,-12.0,-25.612,2.736,-2.36
11.0,-8.0,-25.499,2.725,-2.041
11.0,-4.0,-24.866,2.663,-1.713
11.0,-2.0,-24.312,2.608,-1.65
11.0,0.0,-23.621,2.54,-1.613
11.0,2.0,-24.312,2.608,-1.65
11.0,4.0,-24.866,2.663,-1.713
11.0,8.0,-25.499,2.725,-2.041
11.0,12.0,-25.612,2.736,-2.36
11.0,16.0,-25.426,2.718,-2.613
11.0,20.0,-25.182,2.694,-2.774
11.0,24.0,-24.737,2.65,-2.92
13.0,-24.0,-24.863,2.666,-2.846
13.0,-20.0,-25.255,2.704,-2.729
13.0,-16.0,-25.559,2.734,-2.519
13.0,-12.0,-25.771,2.755,-2.358
13.0,-8.0,-25.711,2.749,-2.01
13.0,-4.0,-25.033,2.682,-1.577
13.0,-2.0,-24.572,2.637,-1.46
13.0,0.0,-23.961,2.577,-1.422
13.0,2.0,-24.572,2.637,-1.46
13.0,4.0,-25.033,2.682,-1.577
13.0,8.0,-25.711,2.749,-2.01
13.0,12.0,-25.771,2.755,-2.358
13.0,16.0,-25.559,2.734,-2.519
13.0,20.0,-25.255,2.704,-2.729
13.0,24.0,-24.863,2.666,-2.846
15.0,-24.0,-25.149,2.697,-2.803
15.0,-20.0,-25.336,2.715,-2.684
15.0,-16.0,-25.687,2.75,-2.481
15.0,-12.0,-25.942,2.775,-2.275
15.0,-8.0,-25.886,2.77,-2.011
15.0,-4.0,-25.181,2.7,-1.505
15.0,-2.0,-24.669,2.649,-1.372
15.0,0.0,-24.075,2.591,-1.33
15.0,2.0,-24.669,2.649,-1.372
15.0,4.0,-25.181,2.7,-1.505
15.0,8.0,-25.886,2.77,-2.011
15.0,12.0,-25.942,2.775,-2.275
15.0,16.0,-25.687,2.75,-2.481
15.0,20.0,-25.336,2.715,-2.684
15.0,24.0,-25.149,2.697,-2.803
