Mach,alpha_deg,Reynolds,CA
0.8,16,3.00E+06,0.398
0.8,16,5.00E+06,0.36
0.8,16,7.00E+06,0.353
0.8,16,1.00E+07,0.35
0.8,16,3.00E+07,0.347
0.8,16,5.00E+07,0.34
0.8,16,7.00E+07,0.339
0.8,20,1.00E+05,0.318
0.8,20,5.00E+05,0.478
0.8,20,1.00E+06,0.395
0.8,20,3.00E+06,0.368
0.8,20,5.00E+06,0.332
0.8,20,7.00E+06,0.326
0.8,20,1.00E+07,0.324
0.8,20,3.00E+07,0.322
0.8,20,5.00E+07,0.318
0.8,20,7.00E+07,0.317
1.2,0,1.00E+05,0.706
1.2,0,5.00E+05,0.837
1.2,0,1.00E+06,0.761
1.2,0,3.00E+06,0.737
1.2,0,5.00E+06,0.708
1.2,0,7.00E+06,0.706
1.2,0,1.00E+07,0.706
1.2,0,3.00E+07,0.706
1.2,0,5.00E+07,0.706
1.2,0,7.00E+07,0.706
1.2,4,1.00E+05,0.705
1.2,4,5.00E+05,0.836
1.2,4,1.00E+06,0.76
1.2,4,3.00E+06,0.737
1.2,4,5.00E+06,0.707
1.2,4,7.00E+06,0.705
1.2,4,1.00E+07,0.705
1.2,4,3.00E+07,0.705
1.2,4,5.00E+07,0.705
1.2,4,7.00E+07,0.705
1.2,8,1.00E+05,0.703
1.2,8,5.00E+05,0.833
1.2,8,1.00E+06,0.757
1.2,8,3.00E+06,0.734
1.2,8,5.00E+06,0.704
1.2,8,7.00E+06,0.703
1.2,8,1.00E+07,0.703
1.2,8,3.00E+07,0.703
1.2,8,5.00E+07,0.703
1.2,8,7.00E+07,0.703
1.2,12,1.00E+05,0.695
1.2,12,5.00E+05,0.824
1.2,12,1.00E+06,0.749
1.2,12,3.00E+06,0.726
1.2,12,5.00E+06,0.697
1.2,12,7.00E+06,0.695
1.2,12,1.00E+07,0.695
1.2,12,3.00E+07,0.695
1.2,12,5.00E+07,0.695
1.2,12,7.00E+07,0.695
1.2,16,1.00E+05,0.677
1.2,16,5.00E+05,0.804
1.2,16,1.00E+06,0.73
1.2,16,3.00E+06,0.707
1.2,16,5.00E+06,0.678
1.2,16,7.00E+06,0.677
1.2,16,1.00E+07,0.677
1.2,16,3.00E+07,0.677
1.2,16,5.00E+07,0.677
1.2,16,7.00E+07,0.677
1.2,20,1.00E+05,0.636
1.2,20,5.00E+05,0.762
1.2,20,1.00E+06,0.689
1.2,20,3.00E+06,0.666
1.2,20,5.00E+06,0.638
1.2,20,7.00E+06,0.636
1.2,20,1.00E+07,0.636
1.2,20,3.00E+07,0.636
1.2,20,5.00E+07,0.636
1.2,20,7.00E+07,0.636
1.5,0,1.00E+05,0.609
1.5,0,5.00E+05,0.741
1.5,0,1.00E+06,0.666
1.5,0,3.00E+06,0.643
1.5,0,5.00E+06,0.614
1.5,0,7.00E+06,0.609
1.5,0,1.00E+07,0.609
1.5,0,3.00E+07,0.609
1.5,0,5.00E+07,0.609
1.5,0,7.00E+07,0.609
1.5,4,1.00E+05,0.604
1.5,4,5.00E+05,0.736
1.5,4,1.00E+06,0.661
1.5,4,3.00E+06,0.638
1.5,4,5.00E+06,0.609
1.5,4,7.00E+06,0.604
1.5,4,1.00E+07,0.604
1.5,4,3.00E+07,0.604
1.5,4,5.00E+07,0.604
1.5,4,7.00E+07,0.604
1.5,8,1.00E+05,0.59
1.5,8,5.00E+05,0.72
1.5,8,1.00E+06,0.646
1.5,8,3.00E+06,0.623
1.5,8,5.00E+06,0.595
1.5,8,7.00E+06,0.59
1.5,8,1.00E+07,0.59
1.5,8,3.00E+07,0.59
1.5,8,5.00E+07,0.59
1.5,8,7.00E+07,0.59
1.5,12,1.00E+05,0.566
1.5,12,5.00E+05,0.694
1.5,12,1.00E+06,0.622
1.5,12,3.00E+06,0.599
1.5,12,5.00E+06,0.571
1.5,12,7.00E+06,0.566
1.5,12,1.00E+07,0.566
1.5,12,3.00E+07,0.566
1.5,12,5.00E+07,0.566
1.5,12,7.00E+07,0.566
1.5,16,1.00E+05,0.534
1.5,16,5.00E+05,0.659
1.5,16,1.00E+06,0.589
1.5,16,3.00E+06,0.567
1.5,16,5.00E+06,0.539
1.5,16,7.00E+06,0.534
1.5,16,1.00E+07,0.534
1.5,16,3.00E+07,0.534
1.5,16,5.00E+07,0.534
1.5,16,7.00E+07,0.534
1.5,20,1.00E+05,0.495
1.5,20,5.00E+05,0.616
1.5,20,1.00E+06,0.548
1.5,20,3.00E+06,0.527
1.5,20,5.00E+06,0.5
1.5,20,7.00E+06,0.495
1.5,20,1.00E+07,0.495
1.5,20,3.00E+07,0.495
1.5,20,5.00E+07,0.495
1.5,20,7.00E+07,0.495
2,0,1.00E+05,0.537
2,0,5.00E+05,0.671
2,0,1.00E+06,0.598
2,0,3.00E+06,0.576
2,0,5.00E+06,0.548
2,0,7.00E+06,0.538
2,0,1.00E+07,0.537
2,0,3.00E+07,0.537
2,0,5.00E+07,0.537
2,0,7.00E+07,0.537
2,4,1.00E+05,0.535
2,4,5.00E+05,0.669
2,4,1.00E+06,0.596
2,4,3.00E+06,0.574
2,4,5.00E+06,0.546
2,4,7.00E+06,0.536
2,4,1.00E+07,0.535
2,4,3.00E+07,0.535
2,4,5.00E+07,0.535
2,4,7.00E+07,0.535
2,8,1.00E+05,0.53
2,8,5.00E+05,0.662
2,8,1.00E+06,0.59
2,8,3.00E+06,0.568
2,8,5.00E+06,0.541
2,8,7.00E+06,0.531
2,8,1.00E+07,0.53
2,8,3.00E+07,0.53
2,8,5.00E+07,0.53
2,8,7.00E+07,0.53
2,12,1.00E+05,0.521
2,12,5.00E+05,0.651
2,12,1.00E+06,0.581
2,12,3.00E+06,0.559
2,12,5.00E+06,0.532
2,12,7.00E+06,0.522
2,12,1.00E+07,0.521
2,12,3.00E+07,0.521
2,12,5.00E+07,0.521
2,12,7.00E+07,0.521
2,16,1.00E+05,0.509
2,16,5.00E+05,0.636
2,16,1.00E+06,0.567
2,16,3.00E+06,0.546
2,16,5.00E+06,0.52
2,16,7.00E+06,0.51
2,16,1.00E+07,0.509
2,16,3.00E+07,0.509
2,16,5.00E+07,0.509
2,16,7.00E+07,0.509
2,20,1.00E+05,0.495
