Mach,delta_roll,alpha_deg,Cll
5,15,12,-0.205
5,15,16,-0.205
5,15,20,-0.205
6,15,0,-0.131
6,15,2,-0.13
6,15,4,-0.1431
6,15,8,-0.183
6,15,12,-0.185
6,15,16,-0.185
6,15,20,-0.185
7,15,0,-0.133
7,15,2,-0.1375
7,15,4,-0.142
7,15,8,-0.173
7,15,12,-0.172
7,15,16,-0.172
7,15,20,-0.172
8,15,0,-0.135
8,15,2,-0.1454
8,15,4,-0.1409
8,15,8,-0.1635
8,15,12,-0.1599
8,15,16,-0.1599
8,15,20,-0.1599
0.3,20,0,-0.1623
0.3,20,2,-0.133
0.3,20,4,-0.12
0.3,20,8,-0.104
0.3,20,12,-0.099
0.3,20,16,-0.099
0.3,20,20,-0.099
0.5,20,0,-0.1413
0.5,20,2,-0.117
0.5,20,4,-0.108
0.5,20,8,-0.0945
0.5,20,12,-0.0847
0.5,20,16,-0.0847
0.5,20,20,-0.0847
0.8,20,0,-0.1221
0.8,20,2,-0.116
0.8,20,4,-0.1055
0.8,20,8,-0.1048
0.8,20,12,-0.0896
0.8,20,16,-0.0896
0.8,20,20,-0.0896
1.2,20,0,-0.206
1.2,20,2,-0.1976
1.2,20,4,-0.1874
1.2,20,8,-0.175
1.2,20,12,-0.1425
1.2,20,16,-0.1425
1.2,20,20,-0.1425
1.5,20,0,-0.1556
1.5,20,2,-0.154
1.5,20,4,-0.149
1.5,20,8,-0.145
1.5,20,12,-0.165
1.5,20,16,-0.165
1.5,20,20,-0.165
2,20,0,-0.092
2,20,2,-0.102
2,20,4,-0.117
2,20,8,-0.15
2,20,12,-0.266
2,20,16,-0.266
2,20,20,-0.266
3,20,0,-0.109
3,20,2,-0.118
3,20,4,-0.135
3,20,8,-0.196
3,20,12,-0.285
3,20,16,-0.285
3,20,20,-0.285
4,20,0,-0.118
4,20,2,-0.124
4,20,4,-0.141
4,20,8,-0.21
4,20,12,-0.238
4,20,16,-0.238
4,20,20,-0.238
5,20,0,-0.126
5,20,2,-0.129
5,20,4,-0.1433
5,20,8,-0.1974
5,20,12,-0.205
5,20,16,-0.205
5,20,20,-0.205
6,20,0,-0.131
6,20,2,-0.13
6,20,4,-0.1431
6,20,8,-0.183
6,20,12,-0.185
6,20,16,-0.185
6,20,20,-0.185
7,20,0,-0.133
7,20,2,-0.1375
7,20,4,-0.142
7,20,8,-0.173
7,20,12,-0.172
7,20,16,-0.172
7,20,20,-0.172
8,20,0,-0.135
8,20,2,-0.1454
8,20,4,-0.1409
8,20,8,-0.1635
8,20,12,-0.1599
8,20,16,-0.1599
8,20,20,-0.1599
