Time (s),Thrust (N),mdot (kg/s)
0.24228035,7149.412797,3.126550884
0.243826532,7150.607959,3.12697652
0.245372664,7151.80237,3.12740189
0.246918747,7152.995988,3.12782698
0.248464779,7154.188805,3.128251787
0.250010762,7155.380823,3.128676312
0.251556695,7156.572048,3.129100557
0.253102579,7157.762486,3.129524524
0.254648413,7158.952141,3.129948215
0.256194197,7160.141019,3.130371632
0.257739932,7161.329126,3.130794777
0.259285618,7162.516466,3.13121765
0.260831254,7163.703044,3.131640255
0.26237684,7164.888866,3.132062593
0.263922378,7166.073934,3.132484665
0.265467866,7167.258254,3.132906473
0.267013305,7168.44183,3.133328018
0.268558695,7169.624665,3.133749301
0.270104035,7170.806763,3.134170324
0.271649327,7171.988127,3.134591089
0.273194569,7173.16876,3.135011595
0.274739763,7174.348666,3.135431845
0.276284907,7175.527847,3.135851838
0.277830003,7176.706306,3.136271577
0.27937505,7177.884045,3.136691062
0.280920047,7179.061067,3.137110293
0.282464996,7180.237372,3.137529272
0.284009897,7181.412964,3.137947999
0.285554748,7182.587843,3.138366474
0.287099551,7183.762012,3.138784698
0.288644305,7184.93547,3.139202672
0.290189011,7186.108219,3.139620395
0.291733668,7187.28026,3.140037868
0.293278276,7188.451593,3.140455092
0.294822837,7189.622219,3.140872066
0.296367348,7190.792138,3.14128879
0.297911811,7191.961349,3.141705265
0.299456226,7193.129853,3.142121489
0.301000593,7194.297648,3.142537464
0.302544911,7195.464735,3.142953189
0.304089181,7196.631112,3.143368663
0.305633403,7197.796778,3.143783886
0.307177577,7198.961731,3.144198858
0.308721703,7200.125972,3.144613577
0.31026578,7201.289496,3.145028045
0.31180981,7202.452304,3.145442259
0.313353791,7203.614392,3.145856219
0.314897725,7204.775758,3.146269924
0.316441611,7205.9364,3.146683374
0.317985449,7207.096314,3.147096567
0.319529239,7208.255499,3.147509502
0.321072981,7209.41395,3.147922178
0.322616675,7210.571665,3.148334595
0.324160322,7211.72864,3.14874675
0.325703921,7212.884871,3.149158642
0.327247473,7214.040354,3.149570271
0.328790977,7215.195084,3.149981634
0.330334434,7216.349059,3.15039273
0.331877843,7217.502272,3.150803557
0.333421204,7218.65472,3.151214114
0.334964518,7219.806396,3.151624399
0.336507785,7220.957297,3.152034409
0.338051005,7222.107416,3.152444144
0.339594177,7223.256748,3.152853601
0.341137302,7224.405287,3.153262778
0.34268038,7225.553028,3.153671674
0.344223411,7226.699963,3.154080284
0.345766394,7227.846086,3.154488609
0.347309331,7228.991391,3.154896644
0.348852221,7230.135871,3.155304388
0.350395063,7231.279519,3.155711838
0.351937859,7232.422327,3.156118992
0.353480608,7233.564289,3.156525847
0.35502331,7234.705395,3.1569324
0.356565965,7235.84564,3.157338648
0.358108574,7236.985014,3.15774459
0.359651136,7238.123509,3.15815022
0.361193651,7239.261116,3.158555538
0.36273612,7240.397828,3.158960539
0.364278542,7241.533634,3.159365221
0.365820918,7242.668527,3.15976958
0.367363247,7243.802496,3.160173613
0.36890553,7244.935532,3.160577316
0.370447767,7246.067625,3.160980686
0.371989957,7247.198766,3.161383721
0.373532101,7248.328944,3.161786415
0.375074199,7249.458149,3.162188765
0.376616251,7250.586371,3.162590768
0.378158257,7251.713598,3.162992421
0.379700217,7252.839819,3.163393718
0.381242131,7253.965024,3.163794656
0.382783998,7255.089201,3.164195231
0.38432582,7256.212338,3.164595438
0.385867597,7257.334424,3.164995275
0.387409327,7258.455447,3.165394736
0.388951012,7259.575394,3.165793817
0.390492651,7260.694253,3.166192514
0.392034245,7261.812012,3.166590823
0.393575793,7262.928653,3.166988736
0.395117296,7264.044167,3.167386252
0.396658753,7265.158557,3.167783371
0.398200165,7266.27183,3.168180095
0.399741531,7267.383992,3.168576427
0.401282853,7268.495051,3.16897237
0.402824129,7269.605012,3.169367925
0.40436536,7270.713883,3.169763094
0.405906546,7271.821667,3.170157881
0.407447687,7272.928372,3.170552285
0.408988783,7274.034,3.17094631
0.410529834,7275.138557,3.171339957
0.412070841,7276.242045,3.171733226
0.413611802,7277.344469,3.172126119
0.415152719,7278.445831,3.172518637
0.416693592,7279.546132,3.172910781
0.418234419,7280.645376,3.173302552
0.419775202,7281.743563,3.173693949
0.421315941,7282.840695,3.174084973
0.422856635,7283.93677,3.174475625
0.424397285,7285.031791,3.174865904
0.42593789,7286.125755,3.17525581
0.427478452,7287.218663,3.175645343
0.429018969,7288.310512,3.176034502
0.430559441,7289.401301,3.176423287
0.43209987,7290.491028,3.176811696
0.433640255,7291.579688,3.17719973
0.435180595,7292.66728,3.177587385
0.436720892,7293.7538,3.177974663
0.438261145,7294.839242,3.178361559
0.439801354,7295.923603,3.178748074
0.441341519,7297.006878,3.179134205
0.44288164,7298.089059,3.179519951
0.444421718,7299.170143,3.179905308
0.445961752,7300.250121,3.180290275
0.447501743,7301.328987,3.18067485
0.44904169,7302.406734,3.181059029
0.450581594,7303.483353,3.181442809
0.452121454,7304.558836,3.181826189
0.453661271,7305.633174,3.182209164
0.455201045,7306.706357,3.182591732
0.456740775,7307.778377,3.182973888
0.458280463,7308.849222,3.18335563
0.459820107,7309.918881,3.183736953
0.461359709,7310.987344,3.184117853
0.462899267,7312.054599,3.184498327
0.464438782,7313.120633,3.184878369
0.465978255,7314.185434,3.185257976
0.467517685,7315.248989,3.185637143
0.469057072,7316.311284,3.186015865
