Mach,alpha_deg,Cmq,Cnq,Clp
11.0,0.0,-0.057,0.052,-0.004
11.0,2.0,-0.059,0.054,-0.004
11.0,4.0,-0.062,0.057,-0.005
11.0,8.0,-0.069,0.063,-0.007
11.0,12.0,-0.063,0.057,-0.008
11.0,16.0,-0.071,0.064,-0.01
11.0,20.0,-0.07,0.063,-0.01
13.0,-20.0,-0.077,0.069,-0.012
13.0,-16.0,-0.072,0.065,-0.009
13.0,-12.0,-0.071,0.064,-0.008
13.0,-8.0,-0.066,0.06,-0.006
13.0,-4.0,-0.06,0.055,-0.004
13.0,-2.0,-0.059,0.054,-0.004
13.0,0.0,-0.057,0.053,-0.003
13.0,2.0,-0.059,0.054,-0.004
13.0,4.0,-0.06,0.055,-0.004
13.0,8.0,-0.066,0.06,-0.006
13.0,12.0,-0.071,0.064,-0.008
13.0,16.0,-0.072,0.065,-0.009
13.0,20.0,-0.077,0.069,-0.012
