Time [second],Thrust [N],mdot [kg/s]
0,377.441215738988,0.160378516443584
0.0150465517653337,373.60077688237,0.158746675879721
0.0220040125898681,1056.40816199757,0.448878306647957
0.0273032602012242,1462.8292086969,0.62157064072035
0.0321089690728559,1644.85270834086,0.698914231227844
0.0367434281531778,1722.94816792648,0.732097766642226
0.0413112598529869,1760.35994645896,0.747994402431744
0.0458484885232548,1782.75777792441,0.757511463187677
0.0503678008677556,1799.75538272761,0.76473391406945
0.0548737166479155,1814.85549051756,0.771150099648838
0.059367868275006,1829.32199673929,0.77729706163713
0.0638508636209676,1843.60930192903,0.783367879329422
0.0683229465925223,1857.8807009285,0.789431938323687
0.072784231627513,1872.19525779054,0.795514335521849
0.0772347867825691,1886.5744285272,0.801624187796249
0.0816746634190062,1901.02600544628,0.80776480617576
0.0861039068820005,1915.55276448333,0.813937370182938
0.0905225603784078,1930.15578617329,0.820142338947792
0.0949306662757173,1944.83579364698,0.826380019735781
0.0993282663829867,1959.59327146536,0.832650618441669
0.103715402134086,1974.42850471149,0.838954256200071
0.108092114735296,1989.34161966902,0.845290986670157
0.112458445277979,2004.3327563955,0.851660869363784
0.116814434727162,2019.40225076313,0.858064046996367
0.12116012378611,2034.55043393908,0.864500660284129
0.125495552902653,2049.77755091833,0.870970813327866
0.129820762330122,2065.08374697289,0.877474567855093
0.134135792194668,2080.46925729713,0.884012023802235
0.138440682434661,2095.9345517698,0.89058338082543
0.142735472648186,2111.47996985527,0.897188783166459
0.147020202183511,2127.10558666728,0.903828262741893
0.151294910311747,2142.81119801289,0.910501732788125
0.155559636401432,2158.61556297594,0.917217164225958
0.159814407971212,2174.55873539489,0.923991576328648
0.164059227810414,2190.64777103674,0.930827967161576
0.168294095254118,2206.83801481288,0.937707362334658
0.172519038024369,2223.03150878087,0.944588138546499
0.176734143618348,2239.12832675853,0.951427836171106
0.18093955839384,2255.08567123998,0.958208270123727
0.185135451409348,2270.84693827421,0.964905388824109
0.189322021752148,2286.31120497929,0.97147630913866
0.193499523522569,2301.32668174579,0.977856534156719
0.197668293671648,2315.75261008625,0.983986254200764
0.201828743140409,2329.55674024439,0.989851766029467
0.205981292653683,2342.75449775782,0.995459624106763
0.21012634553735,2355.37610231881,1.00082266907965
0.214264280111774,2367.45499545172,1.00595511058354
0.218395448812271,2379.02394536063,1.01087087215337
0.222520179462277,2390.11388334756,1.01558309680619
0.226638777101901,2400.75355368457,1.02010399826831
0.230751525909286,2410.96952610329,1.02444486628225
0.234858691020274,2422.58686376372,1.02938118828767
0.238959536912641,2434.62028701638,1.03449430918841
0.24305387448246,2446.71743046245,1.03963450543139
0.247141709040175,2458.75095949792,1.0447476712803
0.25122311458711,2470.67438483477,1.04981405297555
0.25529818893421,2482.47027821392,1.05482624507696
0.25936703769135,2494.13166544095,1.05978128418016
0.263429768565771,2505.65533956802,1.06467780762119
0.267486489341561,2517.03945775289,1.06951503235812
0.271537307173378,2528.28267762469,1.07429238800424
0.275582328349231,2539.38384693922,1.07900938495956
0.279621658220473,2550.34187822956,1.0836655611486
0.28365540119831,2561.15569821878,1.08826046052535
0.28768366077643,2571.82424319628,1.09279363110862
0.291706539555596,2582.346462682,1.09726462653903
0.295724139265905,2592.7213207751,1.10167300665201
0.299736560787971,2602.94779667689,1.10601833770009
0.303743904173459,2613.02488491643,1.11030019244868
0.307746268665147,2622.95159546863,1.11451815022632
0.31174375271658,2632.7269538331,1.11867179695811
0.315736454011349,2642.35000109825,1.12276072519302
0.319724469482009,2651.81978021348,1.12678452827073
0.323707895335387,2661.13532681333,1.13074279642282
0.327686827081889,2670.29567955576,1.13463512116551
0.331661359559299,2679.29988800544,1.1384610986494
0.33563158695237,2688.14701550016,1.14222033087742
0.339597602810744,2696.83614021956,1.14591242615897
0.343559500066088,2705.3663556075,1.14953699928934
0.347517371048794,2713.73677056158,1.15309367163029
0.351471307504353,2721.9465095385,1.15658207115478
0.355421400609464,2729.99471262848,1.16000183247862
0.359367740987889,2737.88052184465,1.16335259103468
0.363310418732528,2745.60307267929,1.16663397948505
0.367249523431139,2753.16150473042,1.1698456322364
0.371185144186752,2760.55496896008,1.17298718852407
0.375117369634448,2767.78263033717,1.17605829353507
0.379046287956725,2774.84366882658,1.17905859882834
0.382971986898247,2781.73727978386,1.18198776250249
0.386894553780252,2788.46267413588,1.1848454492725
0.390814075514752,2795.01907848403,1.18763133051364
0.394730638618541,2801.40573517916,1.19034508429327
0.39864432922705,2807.6218889326,1.19298638968174
0.402555233114158,2813.66677895835,1.19555492341354
0.406463435715378,2819.53964949666,1.19805036435884
0.410369022146056,2825.23975653013,1.20047239637727
0.414272077216398,2830.76637023288,1.20282070935859
