Mach,alpha_deg,Cmq,Cnq,Clp
6.00000,12,-4.84500,0.73500,-0.04400
6.00000,16,-4.97200,0.75000,-0.04700
6.00000,20,-5.06200,0.76000,-0.05100
7.00000,-20,-5.50200,-0.83500,-0.04900
7.00000,-16,-5.39000,-0.82200,-0.04600
7.00000,-12,-5.25000,-0.80600,-0.04200
7.00000,-8,-5.11900,-0.79100,-0.03900
7.00000,-4,-4.77100,-0.74500,-0.03500
7.00000,-2,-4.50400,-0.70600,-0.03300
7.00000,0,-4.23700,0.66700,-0.03100
7.00000,2,-4.50400,0.70600,-0.03300
7.00000,4,-4.77100,0.74500,-0.03500
7.00000,8,-5.11900,0.79100,-0.03900
7.00000,12,-5.25000,0.80600,-0.04200
7.00000,16,-5.39000,0.82200,-0.04600
7.00000,20,-5.50200,0.83500,-0.04900
8.00000,-20,-5.74400,-0.87800,-0.04700
8.00000,-16,-5.60800,-0.86200,-0.04400
8.00000,-12,-5.49300,-0.84900,-0.04000
8.00000,-8,-5.37900,-0.83700,-0.03700
8.00000,-4,-4.98000,-0.78500,-0.03200
8.00000,-2,-4.67300,-0.74000,-0.03000
8.00000,0,-4.36600,0.69500,-0.02800
8.00000,2,-4.67300,0.74000,-0.03000
8.00000,4,-4.98000,0.78500,-0.03200
8.00000,8,-5.37900,0.83700,-0.03700
8.00000,12,-5.49300,0.84900,-0.04000
8.00000,16,-5.60800,0.86200,-0.04400
8.00000,20,-5.74400,0.87800,-0.04700
9.00000,-20,-5.98600,-0.92100,-0.04500
9.00000,-16,-5.82600,-0.90200,-0.04200
9.00000,-12,-5.73600,-0.89200,-0.03800
9.00000,-8,-5.63900,-0.88300,-0.03500
9.00000,-4,-5.18900,-0.82500,-0.02900
9.00000,-2,-4.84200,-0.77400,-0.02700
9.00000,0,-4.49500,0.72300,-0.02500
9.00000,2,-4.84200,0.77400,-0.02700
9.00000,4,-5.18900,0.82500,-0.02900
9.00000,8,-5.63900,0.88300,-0.03500
9.00000,12,-5.73600,0.89200,-0.03800
9.00000,16,-5.82600,0.90200,-0.04200
9.00000,20,-5.98600,0.92100,-0.04500
