Mach,alpha_deg,def_roll,Cll
1.2,4.0,10,-0.10400
1.2,4.0,15,-0.18740
1.2,4.0,20,-0.18740
1.2,6.0,0,0.00000
1.2,6.0,5,-0.05200
1.2,6.0,10,-0.10400
1.2,6.0,15,-0.18300
1.2,6.0,20,-0.18300
1.2,8.0,0,0.00000
1.2,8.0,5,-0.04400
1.2,8.0,10,-0.08700
1.2,8.0,15,-0.17500
1.2,8.0,20,-0.17500
1.2,10.0,0,0.00000
1.2,10.0,5,-0.04350
1.2,10.0,10,-0.09400
1.2,10.0,15,-0.15700
1.2,10.0,20,-0.15700
1.2,12.0,0,0.00000
1.2,12.0,5,-0.04220
1.2,12.0,10,-0.08500
1.2,12.0,15,-0.14250
1.2,12.0,20,-0.14250
1.2,14.0,0,0.00000
1.2,14.0,5,-0.04120
1.2,14.0,10,-0.08510
1.2,14.0,15,-0.13780
1.2,14.0,20,-0.13780
1.2,16.0,0,0.00000
1.2,16.0,5,-0.03950
1.2,16.0,10,-0.08230
1.2,16.0,15,-0.12760
1.2,16.0,20,-0.12760
1.2,18.0,0,0.00000
1.2,18.0,5,-0.03790
1.2,18.0,10,-0.07940
1.2,18.0,15,-0.11750
1.2,18.0,20,-0.11750
1.2,20.0,0,0.00000
1.2,20.0,5,-0.03620
1.2,20.0,10,-0.07650
1.2,20.0,15,-0.10730
1.2,20.0,20,-0.10730
1.5,0.0,0,0.00000
1.5,0.0,5,-0.03600
1.5,0.0,10,-0.07200
1.5,0.0,15,-0.15560
1.5,0.0,20,-0.15560
1.5,2.0,0,0.00000
1.5,2.0,5,-0.03600
1.5,2.0,10,-0.07200
1.5,2.0,15,-0.15400
1.5,2.0,20,-0.15400
1.5,4.0,0,0.00000
1.5,4.0,5,-0.03700
1.5,4.0,10,-0.07300
1.5,4.0,15,-0.14900
1.5,4.0,20,-0.14900
1.5,6.0,0,0.00000
1.5,6.0,5,-0.03600
1.5,6.0,10,-0.07200
1.5,6.0,15,-0.14600
1.5,6.0,20,-0.14600
1.5,8.0,0,0.00000
1.5,8.0,5,-0.03000
1.5,8.0,10,-0.06100
1.5,8.0,15,-0.14500
1.5,8.0,20,-0.14500
1.5,10.0,0,0.00000
1.5,10.0,5,-0.04060
1.5,10.0,10,-0.08790
1.5,10.0,15,-0.14200
1.5,10.0,20,-0.14200
1.5,12.0,0,0.00000
1.5,12.0,5,-0.05580
1.5,12.0,10,-0.11000
1.5,12.0,15,-0.16500
1.5,12.0,20,-0.16500
1.5,14.0,0,0.00000
1.5,14.0,5,-0.04760
1.5,14.0,10,-0.09740
1.5,14.0,15,-0.15100
1.5,14.0,20,-0.15100
1.5,16.0,0,0.00000
1.5,16.0,5,-0.04980
1.5,16.0,10,-0.10220
1.5,16.0,15,-0.15100
1.5,16.0,20,-0.15100
1.5,18.0,0,0.00000
1.5,18.0,5,-0.05200
1.5,18.0,10,-0.10690
1.5,18.0,15,-0.15100
1.5,18.0,20,-0.15100
1.5,20.0,0,0.00000
1.5,20.0,5,-0.05420
1.5,20.0,10,-0.11170
1.5,20.0,15,-0.15100
1.5,20.0,20,-0.15100
2.0,0.0,0,0.00000
2.0,0.0,5,-0.01800
2.0,0.0,10,-0.03500
2.0,0.0,15,-0.09200
2.0,0.0,20,-0.09200
2.0,2.0,0,0.00000
2.0,2.0,5,-0.02000
2.0,2.0,10,-0.03900
2.0,2.0,15,-0.10200
2.0,2.0,20,-0.10200
2.0,4.0,0,0.00000
2.0,4.0,5,-0.02400
2.0,4.0,10,-0.04800
2.0,4.0,15,-0.11700
2.0,4.0,20,-0.11700
2.0,6.0,0,0.00000
2.0,6.0,5,-0.02800
2.0,6.0,10,-0.05500
2.0,6.0,15,-0.13500
2.0,6.0,20,-0.13500
2.0,8.0,0,0.00000
2.0,8.0,5,-0.02700
2.0,8.0,10,-0.05400
2.0,8.0,15,-0.15000
2.0,8.0,20,-0.15000
2.0,10.0,0,0.00000
2.0,10.0,5,-0.05300
2.0,10.0,10,-0.10500
2.0,10.0,15,-0.17000
2.0,10.0,20,-0.17000
2.0,12.0,0,0.00000
2.0,12.0,5,-0.07480
2.0,12.0,10,-0.15900
2.0,12.0,15,-0.26600
2.0,12.0,20,-0.26600
2.0,14.0,0,0.00000
2.0,14.0,5,-0.06920
2.0,14.0,10,-0.14360
2.0,14.0,15,-0.24610
2.0,14.0,20,-0.24610
2.0,16.0,0,0.00000
2.0,16.0,5,-0.07770
2.0,16.0,10,-0.16180
2.0,16.0,15,-0.27080
2.0,16.0,20,-0.27080
2.0,18.0,0,0.00000
2.0,18.0,5,-0.08630
2.0,18.0,10,-0.18000
2.0,18.0,15,-0.29550
2.0,18.0,20,-0.29550
2.0,20.0,0,0.00000
2.0,20.0,5,-0.09480
2.0,20.0,10,-0.19820
2.0,20.0,15,-0.32020
2.0,20.0,20,-0.32020
3.0,0.0,0,0.00000
3.0,0.0,5,-0.02500
3.0,0.0,10,-0.05000
3.0,0.0,15,-0.10900
3.0,0.0,20,-0.10900
3.0,2.0,0,0.00000
3.0,2.0,5,-0.02700
3.0,2.0,10,-0.05300
3.0,2.0,15,-0.11800
3.0,2.0,20,-0.11800
3.0,4.0,0,0.00000
3.0,4.0,5,-0.03300
3.0,4.0,10,-0.06600
3.0,4.0,15,-0.13500
3.0,4.0,20,-0.13500
3.0,6.0,0,0.00000
3.0,6.0,5,-0.04000
3.0,6.0,10,-0.08000
3.0,6.0,15,-0.15600
3.0,6.0,20,-0.15600
3.0,8.0,0,0.00000
3.0,8.0,5,-0.04800
3.0,8.0,10,-0.09500
3.0,8.0,15,-0.19600
3.0,8.0,20,-0.19600
3.0,10.0,0,0.00000
3.0,10.0,5,-0.09120
3.0,10.0,10,-0.17810
3.0,10.0,15,-0.25400
3.0,10.0,20,-0.25400
3.0,12.0,0,0.00000
3.0,12.0,5,-0.11100
3.0,12.0,10,-0.20570
3.0,12.0,15,-0.28500
3.0,12.0,20,-0.28500
3.0,14.0,0,0.00000
3.0,14.0,5,-0.11090
3.0,14.0,10,-0.21060
3.0,14.0,15,-0.30200
3.0,14.0,20,-0.30200
3.0,16.0,0,0.00000
3.0,16.0,5,-0.12530
3.0,16.0,10,-0.23720
3.0,16.0,15,-0.33280
3.0,16.0,20,-0.33280
3.0,18.0,0,0.00000
3.0,18.0,5,-0.13960
3.0,18.0,10,-0.26390
3.0,18.0,15,-0.36350
3.0,18.0,20,-0.36350
3.0,20.0,0,0.00000
3.0,20.0,5,-0.15400
3.0,20.0,10,-0.29050
3.0,20.0,15,-0.39430
3.0,20.0,20,-0.39430
4.0,0.0,0,0.00000
4.0,0.0,5,-0.03000
4.0,0.0,10,-0.05900
4.0,0.0,15,-0.11800
4.0,0.0,20,-0.11800
4.0,2.0,0,0.00000
4.0,2.0,5,-0.03000
4.0,2.0,10,-0.06000
4.0,2.0,15,-0.12400
4.0,2.0,20,-0.12400
4.0,4.0,0,0.00000
4.0,4.0,5,-0.03600
4.0,4.0,10,-0.07200
4.0,4.0,15,-0.14100
4.0,4.0,20,-0.14100
4.0,6.0,0,0.00000
4.0,6.0,5,-0.04400
4.0,6.0,10,-0.08700
4.0,6.0,15,-0.16800
4.0,6.0,20,-0.16800
4.0,8.0,0,0.00000
4.0,8.0,5,-0.05400
4.0,8.0,10,-0.10700
4.0,8.0,15,-0.21000
4.0,8.0,20,-0.21000
4.0,10.0,0,0.00000
4.0,10.0,5,-0.08190
4.0,10.0,10,-0.16100
4.0,10.0,15,-0.22400
4.0,10.0,20,-0.22400
4.0,12.0,0,0.00000
4.0,12.0,5,-0.08160
4.0,12.0,10,-0.16200
4.0,12.0,15,-0.23800
4.0,12.0,20,-0.23800
4.0,14.0,0,0.00000
4.0,14.0,5,-0.09060
4.0,14.0,10,-0.17910
4.0,14.0,15,-0.26460
4.0,14.0,20,-0.26460
4.0,16.0,0,0.00000
4.0,16.0,5,-0.10050
4.0,16.0,10,-0.19860
4.0,16.0,15,-0.28700
4.0,16.0,20,-0.28700
4.0,18.0,0,0.00000
4.0,18.0,5,-0.11030
4.0,18.0,10,-0.21810
4.0,18.0,15,-0.30950
4.0,18.0,20,-0.30950
4.0,20.0,0,0.00000
4.0,20.0,5,-0.12020
4.0,20.0,10,-0.23760
4.0,20.0,15,-0.33200
4.0,20.0,20,-0.33200
5.0,0.0,0,0.00000
5.0,0.0,5,-0.03000
5.0,0.0,10,-0.06000
5.0,0.0,15,-0.12600
5.0,0.0,20,-0.12600
5.0,2.0,0,0.00000
5.0,2.0,5,-0.03000
5.0,2.0,10,-0.06100
5.0,2.0,15,-0.12900
5.0,2.0,20,-0.12900
5.0,4.0,0,0.00000
5.0,4.0,5,-0.03500
5.0,4.0,10,-0.07000
5.0,4.0,15,-0.14330
5.0,4.0,20,-0.14330
5.0,6.0,0,0.00000
5.0,6.0,5,-0.04200
5.0,6.0,10,-0.08400
5.0,6.0,15,-0.17300
5.0,6.0,20,-0.17300
5.0,8.0,0,0.00000
5.0,8.0,5,-0.05000
5.0,8.0,10,-0.09900
5.0,8.0,15,-0.19740
5.0,8.0,20,-0.19740
5.0,10.0,0,0.00000
5.0,10.0,5,-0.06670
5.0,10.0,10,-0.13200
5.0,10.0,15,-0.20900
5.0,10.0,20,-0.20900
5.0,12.0,0,0.00000
5.0,12.0,5,-0.06530
5.0,12.0,10,-0.13400
5.0,12.0,15,-0.20500
5.0,12.0,20,-0.20500
5.0,14.0,0,0.00000
5.0,14.0,5,-0.07330
5.0,14.0,10,-0.14760
5.0,14.0,15,-0.23340
5.0,14.0,20,-0.23340
5.0,16.0,0,0.00000
5.0,16.0,5,-0.08030
5.0,16.0,10,-0.16160
5.0,16.0,15,-0.24950
5.0,16.0,20,-0.24950
5.0,18.0,0,0.00000
5.0,18.0,5,-0.08720
5.0,18.0,10,-0.17560
5.0,18.0,15,-0.26560
5.0,18.0,20,-0.26560
5.0,20.0,0,0.00000
5.0,20.0,5,-0.09410
5.0,20.0,10,-0.18970
5.0,20.0,15,-0.28170
5.0,20.0,20,-0.28170
6.0,0.0,0,0.00000
6.0,0.0,5,-0.02900
6.0,0.0,10,-0.05900
6.0,0.0,15,-0.13100
6.0,0.0,20,-0.13100
6.0,2.0,0,0.00000
6.0,2.0,5,-0.03000
6.0,2.0,10,-0.05900
6.0,2.0,15,-0.13000
6.0,2.0,20,-0.13000
6.0,4.0,0,0.00000
6.0,4.0,5,-0.03300
6.0,4.0,10,-0.06700
6.0,4.0,15,-0.14310
6.0,4.0,20,-0.14310
6.0,6.0,0,0.00000
6.0,6.0,5,-0.03900
6.0,6.0,10,-0.07900
6.0,6.0,15,-0.16310
6.0,6.0,20,-0.16310
6.0,8.0,0,0.00000
6.0,8.0,5,-0.04400
6.0,8.0,10,-0.08900
6.0,8.0,15,-0.18300
6.0,8.0,20,-0.18300
6.0,10.0,0,0.00000
6.0,10.0,5,-0.05790
6.0,10.0,10,-0.11900
6.0,10.0,15,-0.18400
6.0,10.0,20,-0.18400
6.0,12.0,0,0.00000
6.0,12.0,5,-0.05760
6.0,12.0,10,-0.11900
6.0,12.0,15,-0.18500
6.0,12.0,20,-0.18500
6.0,14.0,0,0.00000
6.0,14.0,5,-0.06330
6.0,14.0,10,-0.13040
6.0,14.0,15,-0.20420
6.0,14.0,20,-0.20420
6.0,16.0,0,0.00000
6.0,16.0,5,-0.06880
6.0,16.0,10,-0.14190
6.0,16.0,15,-0.21520
6.0,16.0,20,-0.21520
6.0,18.0,0,0.00000
6.0,18.0,5,-0.07420
6.0,18.0,10,-0.15340
6.0,18.0,15,-0.22630
6.0,18.0,20,-0.22630
6.0,20.0,0,0.00000
6.0,20.0,5,-0.07970
6.0,20.0,10,-0.16490
6.0,20.0,15,-0.23740
6.0,20.0,20,-0.23740
7.0,0.0,0,0.00000
7.0,0.0,5,-0.02900
7.0,0.0,10,-0.05700
7.0,0.0,15,-0.13300
7.0,0.0,20,-0.13300
7.0,2.0,0,0.00000
7.0,2.0,5,-0.02900
7.0,2.0,10,-0.05700
7.0,2.0,15,-0.13750
7.0,2.0,20,-0.13750
7.0,4.0,0,0.00000
7.0,4.0,5,-0.03200
7.0,4.0,10,-0.06400
7.0,4.0,15,-0.14200
7.0,4.0,20,-0.14200
7.0,6.0,0,0.00000
7.0,6.0,5,-0.03700
7.0,6.0,10,-0.07400
7.0,6.0,15,-0.15750
7.0,6.0,20,-0.15750
7.0,8.0,0,0.00000
7.0,8.0,5,-0.04000
7.0,8.0,10,-0.08000
7.0,8.0,15,-0.17300
7.0,8.0,20,-0.17300
7.0,10.0,0,0.00000
7.0,10.0,5,-0.05280
7.0,10.0,10,-0.11120
7.0,10.0,15,-0.17250
7.0,10.0,20,-0.17250
7.0,12.0,0,0.00000
7.0,12.0,5,-0.05350
7.0,12.0,10,-0.11120
7.0,12.0,15,-0.17200
7.0,12.0,20,-0.17200
7.0,14.0,0,0.00000
7.0,14.0,5,-0.05750
7.0,14.0,10,-0.12020
7.0,14.0,15,-0.18650
7.0,14.0,20,-0.18650
7.0,16.0,0,0.00000
7.0,16.0,5,-0.06210
7.0,16.0,10,-0.13050
7.0,16.0,15,-0.19430
7.0,16.0,20,-0.19430
7.0,18.0,0,0.00000
7.0,18.0,5,-0.06670
7.0,18.0,10,-0.14070
7.0,18.0,15,-0.20210
7.0,18.0,20,-0.20210
7.0,20.0,0,0.00000
7.0,20.0,5,-0.07130
7.0,20.0,10,-0.15100
7.0,20.0,15,-0.20990
7.0,20.0,20,-0.20990
8.0,0.0,0,0.00000
8.0,0.0,5,-0.02800
8.0,0.0,10,-0.05600
8.0,0.0,15,-0.13500
8.0,0.0,20,-0.13500
8.0,2.0,0,0.00000
8.0,2.0,5,-0.02800
8.0,2.0,10,-0.05600
8.0,2.0,15,-0.14540
