6 13  9												
0.0  4.0   8.0   12.0   16.0    20.0												
0.3  0.5  .8   1.2   1.5  2.0  3.0   4.0   5.0   6.0   7.0    8.0  9.0												
0.0  10000.0  20000.0  30000.0  40000.0  50000.0  60000.0  70000.0   77000.0  												
												
CA-A0.0												
												
0.295	0.292	0.314	0.518	0.461	0.383	0.281	0.218	0.18	0.156	0.141	0.13	0.119
0.282	0.278	0.298	0.517	0.456	0.381	0.282	0.22	0.182	0.159	0.144	0.134	0.124
0.256	0.244	0.257	0.515	0.443	0.376	0.284	0.225	0.189	0.167	0.153	0.145	0.137
0.246	0.23	0.239	0.508	0.422	0.368	0.287	0.233	0.201	0.181	0.169	0.161	0.153
0.254	0.241	0.25	0.492	0.392	0.357	0.291	0.244	0.216	0.2	0.189	0.184	0.179
0.244	0.235	0.241	0.461	0.356	0.344	0.295	0.256	0.236	0.223	0.215	0.211	0.207
												
CA-A10000.0												
												
0.295	0.292	0.314	0.518	0.461	0.383	0.281	0.218	0.187	0.163	0.146	0.136	0.126
0.288	0.283	0.302	0.517	0.456	0.381	0.282	0.22	0.19	0.165	0.149	0.139	0.129
0.276	0.265	0.272	0.515	0.443	0.376	0.284	0.225	0.196	0.174	0.159	0.15	0.141
0.276	0.26	0.262	0.508	0.422	0.368	0.287	0.233	0.209	0.188	0.174	0.166	0.158
0.273	0.262	0.267	0.492	0.392	0.357	0.291	0.244	0.224	0.207	0.196	0.189	0.182
0.255	0.247	0.252	0.461	0.356	0.344	0.295	0.256	0.243	0.229	0.22	0.217	0.214
												
CA-A20000.0											
												
0.34	0.321	0.333	0.524	0.467	0.389	0.293	0.236	0.204	0.177	0.16	0.148	0.136
0.337	0.317	0.327	0.524	0.463	0.387	0.294	0.238	0.206	0.18	0.163	0.151	0.139
0.333	0.313	0.318	0.521	0.45	0.383	0.295	0.242	0.213	0.189	0.172	0.161	0.15
0.335	0.314	0.316	0.515	0.428	0.374	0.298	0.25	0.225	0.202	0.187	0.178	0.169
0.327	0.306	0.309	0.499	0.399	0.363	0.301	0.26	0.239	0.22	0.207	0.2	0.193
0.304	0.283	0.284	0.467	0.362	0.35	0.305	0.272	0.258	0.243	0.233	0.228	0.223
												
CA-A30000.0												
												
0.417	0.388	0.396	0.562	0.511	0.428	0.325	0.264	0.23	0.201	0.182	0.168	0.154
0.413	0.384	0.392	0.562	0.506	0.426	0.325	0.265	0.232	0.204	0.185	0.172	0.159
