Alpha: 0.,4.,8.,12.,16.,20.
Mach: 0.3,	0.5,	0.8,	1.2,	1.5,	2,	3,	4,	5,	6,	7,	8,9

CM_A												
												
0	0	0	0	0	0	0	0	0	0	0	0	0
-0.824	-0.85	-0.942	-0.993	-0.999	-0.778	-0.521	-0.43	-0.346	-0.28	-0.233	-0.197	-0.161
-1.978	-2.034	-2.195	-2.375	-2.335	-1.739	-1.24	-1.157	-0.945	-0.769	-0.619	-0.529	-0.439
-3.748	-3.882	-3.974	-4.133	-3.925	-2.819	-2.225	-2.081	-1.772	-1.483	-1.261	-1.151	-1.041
-5.651	-6.102	-5.977	-6.219	-5.651	-3.864	-3.339	-3.139	-2.748	-2.262	-2.012	-1.84	-1.668
-7.675	-8.476	-8.173	-8.48	-7.722	-4.937	-4.484	-4.129	-3.778	-3.166	-2.786	-2.588	-2.39
												
CN_A												
												
0	0	0	0	0	0	0	0	0	0	0	0	0
0.54	0.546	0.582	0.638	0.587	0.53	0.461	0.432	0.404	0.38	0.359	0.338	0.317
1.213	1.188	1.322	1.434	1.325	1.183	1.133	1.103	1.024	0.932	0.841	0.827	0.813
1.841	1.852	2.06	2.208	2.006	1.868	1.892	1.835	1.698	1.579	1.493	1.431	1.369
2.426	2.484	2.733	2.907	2.699	2.566	2.588	2.501	2.283	2.125	2.042	1.931	1.82
2.973	3.11	3.438	3.605	3.312	3.137	3.171	3.016	2.825	2.615	2.522	2.391	2.26
CMQ_A												
												
-11.065	-11.305	-11.08	-11.207	-10.409	-9.348	-6.032	-4.726	-4.122	-3.996	-4.237	-4.366	-4.495
-11.853	-12.068	-11.397	-11.025	-10.103	-9.333	-6.141	-4.979	-4.487	-4.461	-4.771	-4.98	-5.189
-12.474	-12.66	-11.845	-11.086	-9.875	-9.262	-6.124	-5.158	-4.69	-4.728	-5.119	-5.379	-5.639
-12.654	-12.819	-11.888	-10.795	-9.435	-8.875	-5.945	-5.152	-4.771	-4.845	-5.25	-5.493	-5.736
-12.364	-12.476	-11.553	-10.289	-8.913	-8.464	-5.763	-5.102	-4.846	-4.972	-5.39	-5.608	-5.826
-11.91	-11.979	-11.025	-9.808	-8.483	-8.072	-5.585	-5.027	-4.868	-5.062	-5.502	-5.744	-5.986
 												
CNQ_A												
												
1.659	1.67	1.527	1.429	1.482	1.359	0.892	0.711	0.628	0.618	0.667	0.695	0.723
1.78	1.788	1.578	1.404	1.438	1.358	0.909	0.748	0.682	0.686	0.745	0.785	0.825
1.864	1.871	1.623	1.416	1.412	1.346	0.906	0.773	0.709	0.721	0.791	0.837	0.883
1.889	1.896	1.62	1.379	1.355	1.292	0.881	0.772	0.719	0.735	0.806	0.849	0.892
1.869	1.88	1.564	1.311	1.285	1.235	0.857	0.762	0.727	0.75	0.822	0.862	0.902
1.845	1.86	1.524	1.255	1.227	1.182	0.832	0.753	0.728	0.76	0.835	0.878	0.921
												
CM_D												
												
0	0	0	0	0	0	0	0	0	0	0	0	0
0.607	0.615	0.627	0.857	0.645	0.439	0.217	0.121	0.083	0.06	0.046	0.04	0.034
1.145	1.176	1.333	1.708	1.282	0.871	0.428	0.238	0.161	0.126	0.101	0.084	0.067
1.772	1.762	2.042	2.562	1.854	1.295	0.655	0.366	0.249	0.196	0.16	0.137	0.114
2.416	2.408	2.822	3.416	2.565	1.741	0.871	0.475	0.338	0.257	0.216	0.19	0.164
3.02	3.062	3.607	4.27	3.206	2.176	1.092	0.595	0.424	0.322	0.273	0.246	0.219
												
CN_D												
												
0	0	0	0	0	0	0	0	0	0	0	0	0
0.07	0.065	0.053	0.068	0.062	0.061	0.052	0.047	0.042	0.039	0.037	0.036	0.035
0.129	0.122	0.113	0.146	0.126	0.123	0.104	0.094	0.086	0.085	0.078	0.081	0.084
0.193	0.178	0.183	0.224	0.182	0.179	0.159	0.146	0.134	0.129	0.125	0.125	0.125
0.251	0.233	0.245	0.304	0.251	0.244	0.209	0.188	0.18	0.176	0.168	0.171	0.174
0.316	0.29	0.307	0.378	0.313	0.306	0.261	0.235	0.226	0.224	0.216	0.218	0.22
												
CLP												
-0.071	-0.073	-0.077	-0.079	-0.077	-0.072	-0.058	-0.047	-0.04	-0.035	-0.031	-0.028	-0.025
