11   13   5
0.0  2.0  4.0   6.0  8.0  10.0   12.0  14.0  16.0   18.0    20.0
0.3  0.5  .8   1.2   1.5  2.0   3.0   4.0   5.0   6.0   7.0    8.0  9.0
0 5 10 15 20

del0
0   0   0    0   0   0   0  0   0   0   0  0    0   
0   0   0    0   0   0   0  0   0   0   0  0    0     
0   0   0    0   0   0   0  0   0   0   0  0    0     
0   0   0    0   0   0   0  0   0   0   0  0    0     
0   0   0    0   0   0   0  0   0   0   0  0    0     
0   0   0    0   0   0   0  0   0   0   0  0    0    
0   0   0    0   0   0   0  0   0   0   0  0    0        
0   0   0    0   0   0   0  0   0   0   0  0    0     
0   0   0    0   0   0   0  0   0   0   0  0    0     
0   0   0    0   0   0   0  0   0   0   0  0    0    
0   0   0    0   0   0   0  0   0   0   0  0    0        
 
del=5y												
-0.0860	-0.0940	-0.0350	-0.0500	-0.0360	-0.0180	-0.0250	-0.0300	-0.0300	-0.0290	-0.0290	-0.0280	-0.0270
-0.0840	-0.0930	-0.0340	-0.0510	-0.0360	-0.0200	-0.0270	-0.0300	-0.0300	-0.0300	-0.0290	-0.0280	-0.0270
-0.0820	-0.0900	-0.0310	-0.0520	-0.0370	-0.0240	-0.0330	-0.0360	-0.0350	-0.0330	-0.0320	-0.0310	-0.0300
-0.0670	-0.0720	-0.0250	-0.0520	-0.0360	-0.0280	-0.0400	-0.0440	-0.0420	-0.0390	-0.0370	-0.0350	-0.0330
-0.0280	-0.0200	-0.0090	-0.0440	-0.0300	-0.0270	-0.0480	-0.0540	-0.0500	-0.0440	-0.0400	-0.0370	-0.0340
-0.0198	0.0040	0.0184	-0.0435	-0.0406	-0.0530	-0.0912	-0.0819	-0.0667	-0.0579	-0.0528	-0.0495	-0.0462
-0.0020	0.0098	0.0132	-0.0422	-0.0558	-0.0748	-0.1110	-0.0816	-0.0653	-0.0576	-0.0535	-0.0507	-0.0479
0.0094	0.0315	0.0241	-0.0412	-0.0476	-0.0692	-0.1109	-0.0906	-0.0733	-0.0633	-0.0575	-0.0538	-0.0500
0.0249	0.0520	0.0338	-0.0395	-0.0498	-0.0777	-0.1253	-0.1005	-0.0803	-0.0688	-0.0621	-0.0579	-0.0538
0.0404	0.0726	0.0435	-0.0379	-0.0520	-0.0863	-0.1396	-0.1103	-0.0872	-0.0742	-0.0667	-0.0621	-0.0575
0.0559	0.0931	0.0532	-0.0362	-0.0542	-0.0948	-0.1540	-0.1202	-0.0941	-0.0797	-0.0713	-0.0663	-0.0613
												
del=10y												
-0.1710	-0.1880	-0.0690	-0.1010	-0.0720	-0.0350	-0.0500	-0.0590	-0.0600	-0.0590	-0.0570	-0.0560	-0.0550
-0.1670	-0.1870	-0.0690	-0.1020	-0.0720	-0.0390	-0.0530	-0.0600	-0.0610	-0.0590	-0.0570	-0.0560	-0.0550
-0.1640	-0.1810	-0.0630	-0.1040	-0.0730	-0.0480	-0.0660	-0.0720	-0.0700	-0.0670	-0.0640	-0.0620	-0.0600
-0.1340	-0.1440	-0.0500	-0.1040	-0.0720	-0.0550	-0.0800	-0.0870	-0.0840	-0.0790	-0.0740	-0.0690	-0.0640
-0.0560	-0.0400	-0.0170	-0.0870	-0.0610	-0.0540	-0.0950	-0.1070	-0.0990	-0.0890	-0.0800	-0.0740	-0.0680
-0.0360	-0.0316	-0.0270	-0.0940	-0.0879	-0.1050	-0.1781	-0.1610	-0.1320	-0.1190	-0.1112	-0.1048	-0.0984
