Mach,alpha_deg,Cmq,Cnq,Clp
0.3,0.0,-0.09,0.111,-0.018
0.3,2.0,-0.093,0.113,-0.018
0.3,4.0,-0.095,0.115,-0.019
0.3,8.0,-0.093,0.113,-0.019
0.3,12.0,-0.075,0.097,-0.015
0.3,16.0,-0.053,0.077,-0.01
0.3,20.0,-0.025,0.053,-0.004
0.5,0.0,-0.096,0.112,-0.018
0.5,2.0,-0.099,0.114,-0.019
0.5,4.0,-0.1,0.116,-0.019
0.5,8.0,-0.097,0.113,-0.02
0.5,12.0,-0.075,0.094,-0.015
0.5,16.0,-0.052,0.073,-0.009
0.5,20.0,-0.026,0.05,-0.003
0.8,0.0,-0.117,0.119,-0.02
0.8,2.0,-0.12,0.122,-0.021
0.8,4.0,-0.122,0.124,-0.022
0.8,8.0,-0.121,0.123,-0.023
0.8,12.0,-0.101,0.105,-0.018
0.8,16.0,-0.081,0.087,-0.012
0.8,20.0,-0.059,0.068,-0.008
1.2,0.0,-0.152,0.116,-0.024
1.2,2.0,-0.155,0.118,-0.025
1.2,4.0,-0.156,0.119,-0.025
1.2,8.0,-0.155,0.118,-0.026
1.2,12.0,-0.146,0.11,-0.024
1.2,16.0,-0.135,0.101,-0.021
1.2,20.0,-0.122,0.09,-0.017
2.0,0.0,-0.092,0.081,-0.012
2.0,2.0,-0.093,0.083,-0.013
2.0,4.0,-0.094,0.083,-0.013
2.0,8.0,-0.093,0.083,-0.013
2.0,12.0,-0.09,0.08,-0.013
2.0,16.0,-0.084,0.075,-0.011
2.0,20.0,-0.078,0.07,-0.009
3.0,0.0,-0.077,0.069,-0.008
3.0,2.0,-0.078,0.07,-0.009
3.0,4.0,-0.079,0.071,-0.009
3.0,8.0,-0.078,0.07,-0.009
3.0,12.0,-0.074,0.067,-0.009
3.0,16.0,-0.071,0.064,-0.007
3.0,20.0,-0.069,0.063,-0.007
5.0,0.0,-0.064,0.058,-0.005
5.0,2.0,-0.064,0.059,-0.005
5.0,4.0,-0.065,0.059,-0.005
5.0,8.0,-0.067,0.061,-0.006
5.0,12.0,-0.066,0.06,-0.006
5.0,16.0,-0.068,0.062,-0.007
5.0,20.0,-0.07,0.063,-0.008
7.0,0.0,-0.058,0.053,-0.004
7.0,2.0,-0.059,0.054,-0.004
7.0,4.0,-0.06,0.055,-0.004
7.0,8.0,-0.063,0.057,-0.005
7.0,12.0,-0.063,0.057,-0.005
7.0,16.0,-0.068,0.061,-0.007
7.0,20.0,-0.07,0.063,-0.008
9.0,0.0,-0.055,0.051,-0.003
9.0,2.0,-0.056,0.051,-0.003
9.0,4.0,-0.058,0.053,-0.003
9.0,8.0,-0.063,0.057,-0.005
9.0,12.0,-0.063,0.057,-0.004
9.0,16.0,-0.067,0.061,-0.007
9.0,20.0,-0.072,0.065,-0.009
11.0,0.0,-0.054,0.049,-0.002
11.0,2.0,-0.055,0.05,-0.002
11.0,4.0,-0.056,0.051,-0.003
11.0,8.0,-0.06,0.054,-0.004
11.0,12.0,-0.064,0.058,-0.006
11.0,16.0,-0.069,0.062,-0.007
11.0,20.0,-0.07,0.063,-0.009
13.0,0.0,-0.054,0.049,-0.002
13.0,2.0,-0.054,0.049,-0.002
13.0,4.0,-0.055,0.05,-0.002
13.0,8.0,-0.06,0.055,-0.004
13.0,12.0,-0.065,0.059,-0.006
13.0,16.0,-0.072,0.064,-0.008
13.0,20.0,-0.067,0.06,-0.007
