Mach,alpha_deg,Cd,Cn,Cm
0.3,2.0,0.2237,0.3288,-0.572
0.3,4.0,0.2458,0.6643,-1.206
0.3,8.0,0.3141,1.332,-2.477
0.3,12.0,0.4246,1.995,-3.78
0.3,16.0,0.5841,2.645,-5.078
0.3,20.0,0.8139,3.266,-6.294
0.5,2.0,0.2178,0.3387,-0.631
0.5,4.0,0.241,0.6856,-1.33
0.5,8.0,0.3139,1.375,-2.717
0.5,12.0,0.4376,2.067,-4.154
0.5,16.0,0.6479,2.737,-5.496
0.5,20.0,0.9364,3.343,-6.497
0.8,2.0,0.2622,0.385,-0.9422
0.8,4.0,0.2889,0.7784,-1.937
0.8,8.0,0.3875,1.563,-3.885
0.8,12.0,0.5731,2.341,-5.74
0.8,16.0,0.855,3.064,-7.179
0.8,20.0,1.164,3.654,-7.549
1.2,2.0,0.5437,0.3718,-0.9709
1.2,4.0,0.5814,0.7787,-2.197
1.2,8.0,0.72,1.578,-4.415
1.2,12.0,0.9358,2.347,-6.182
1.2,16.0,1.22,3.091,-7.398
1.2,20.0,1.586,3.851,-8.109
2.0,2.0,0.4117,0.2855,-0.4077
2.0,4.0,0.4439,0.591,-0.9401
2.0,8.0,0.5625,1.218,-1.862
2.0,12.0,0.7665,1.921,-2.738
2.0,16.0,1.099,2.772,-3.547
2.0,20.0,1.608,3.776,-4.15
3.0,2.0,0.4117,0.2855,-0.4077
3.0,4.0,0.3915,0.5197,-0.5785
3.0,8.0,0.518,1.096,-1.129
3.0,12.0,0.742,1.786,-1.712
3.0,16.0,1.094,2.584,-2.305
3.0,20.0,1.584,3.411,-2.887
5.0,2.0,0.3176,0.2268,-0.2663
5.0,4.0,0.3597,0.4723,-0.5715
5.0,8.0,0.5079,1.016,-1.073
5.0,12.0,0.7431,1.632,-1.541
5.0,16.0,1.084,2.281,-1.935
5.0,20.0,1.529,2.965,-2.368
7.0,2.0,0.3087,0.2136,-0.3142
7.0,4.0,0.3511,0.453,-0.6735
7.0,8.0,0.5011,0.9659,-1.115
7.0,12.0,0.7309,1.52,-1.429
7.0,16.0,1.055,2.115,-1.727
7.0,20.0,1.48,2.763,-2.121
9.0,2.0,0.3039,0.2022,-0.3173
9.0,4.0,0.3431,0.431,-0.6697
9.0,8.0,0.49,0.9232,-1.088
9.0,12.0,0.7178,1.451,-1.342
9.0,16.0,1.034,2.026,-1.614
9.0,20.0,1.45,2.663,-1.995
11.0,2.0,0.3019,0.2014,-0.3497
11.0,4.0,0.3374,0.4158,-0.625
11.0,8.0,0.4746,0.8848,-0.9619
11.0,12.0,0.7034,1.402,-1.221
11.0,16.0,1.018,1.972,-1.516
11.0,20.0,1.432,2.607,-1.918
