Mach,alpha_deg,Reynolds,CA
1.2,20,1.00E+06,0.118
1.2,20,3.00E+06,0.1
1.2,20,5.00E+06,0.093
1.2,20,7.00E+06,0.093
1.2,20,1.00E+07,0.093
2,0,1.00E+05,0.284
2,0,5.00E+05,0.236
2,0,1.00E+06,0.222
2,0,3.00E+06,0.204
2,0,5.00E+06,0.198
2,0,7.00E+06,0.194
2,0,1.00E+07,0.192
2,4,1.00E+05,0.282
2,4,5.00E+05,0.235
2,4,1.00E+06,0.221
2,4,3.00E+06,0.203
2,4,5.00E+06,0.196
2,4,7.00E+06,0.193
2,4,1.00E+07,0.191
2,8,1.00E+05,0.277
2,8,5.00E+05,0.23
2,8,1.00E+06,0.216
2,8,3.00E+06,0.199
2,8,5.00E+06,0.193
2,8,7.00E+06,0.189
2,8,1.00E+07,0.187
2,12,1.00E+05,0.27
2,12,5.00E+05,0.224
2,12,1.00E+06,0.21
2,12,3.00E+06,0.193
2,12,5.00E+06,0.187
2,12,7.00E+06,0.183
2,12,1.00E+07,0.181
2,16,1.00E+05,0.259
2,16,5.00E+05,0.214
2,16,1.00E+06,0.201
2,16,3.00E+06,0.184
2,16,5.00E+06,0.178
2,16,7.00E+06,0.175
2,16,1.00E+07,0.173
2,20,1.00E+05,0.245
2,20,5.00E+05,0.203
2,20,1.00E+06,0.19
2,20,3.00E+06,0.174
2,20,5.00E+06,0.168
2,20,7.00E+06,0.165
2,20,1.00E+07,0.163
3,0,1.00E+05,0.233
3,0,5.00E+05,0.186
3,0,1.00E+06,0.173
3,0,3.00E+06,0.157
3,0,5.00E+06,0.151
3,0,7.00E+06,0.147
3,0,1.00E+07,0.144
3,4,1.00E+05,0.233
3,4,5.00E+05,0.187
3,4,1.00E+06,0.174
3,4,3.00E+06,0.157
3,4,5.00E+06,0.151
3,4,7.00E+06,0.148
3,4,1.00E+07,0.145
3,8,1.00E+05,0.235
3,8,5.00E+05,0.189
3,8,1.00E+06,0.176
3,8,3.00E+06,0.16
3,8,5.00E+06,0.154
3,8,7.00E+06,0.151
3,8,1.00E+07,0.147
3,12,1.00E+05,0.238
3,12,5.00E+05,0.193
3,12,1.00E+06,0.18
3,12,3.00E+06,0.165
3,12,5.00E+06,0.159
3,12,7.00E+06,0.155
3,12,1.00E+07,0.152
3,16,1.00E+05,0.241
3,16,5.00E+05,0.198
3,16,1.00E+06,0.186
3,16,3.00E+06,0.17
3,16,5.00E+06,0.165
3,16,7.00E+06,0.161
3,16,1.00E+07,0.158
3,20,1.00E+05,0.246
3,20,5.00E+05,0.204
3,20,1.00E+06,0.192
3,20,3.00E+06,0.177
3,20,5.00E+06,0.172
3,20,7.00E+06,0.169
3,20,1.00E+07,0.166
